	reads.in	reads.out
SRR9973307_1.fastq.gz	61238	56423
SRR9973308_1.fastq.gz	65958	59325
SRR9973311_1.fastq.gz	122571	116246
SRR9973312_1.fastq.gz	150078	137894
SRR9973313_1.fastq.gz	96706	88578
SRR9973314_1.fastq.gz	131358	121263
SRR9973315_1.fastq.gz	127931	114013
SRR9973316_1.fastq.gz	133608	123728
SRR9973317_1.fastq.gz	76198	71092
SRR9973318_1.fastq.gz	153202	143395
SRR9973319_1.fastq.gz	127720	117848
SRR9973320_1.fastq.gz	105038	96289
SRR9973321_1.fastq.gz	126323	108604
SRR9973322_1.fastq.gz	66907	62999
SRR9973323_1.fastq.gz	119793	113294
SRR9973324_1.fastq.gz	123804	114898
SRR9973325_1.fastq.gz	95129	89703
SRR9973326_1.fastq.gz	43274	40920
SRR9973327_1.fastq.gz	123081	114886
SRR9973328_1.fastq.gz	46403	42596
SRR9973329_1.fastq.gz	105061	99083
SRR9973330_1.fastq.gz	108327	102103
SRR9973331_1.fastq.gz	166637	156688
SRR9973332_1.fastq.gz	114434	106915
SRR9973333_1.fastq.gz	218383	204668
SRR9973334_1.fastq.gz	172638	156573
SRR9973335_1.fastq.gz	166924	154924
SRR9973336_1.fastq.gz	157748	148526
SRR9973337_1.fastq.gz	149606	135874
SRR9973338_1.fastq.gz	74402	69768
SRR9973339_1.fastq.gz	58135	51788
SRR9973340_1.fastq.gz	209410	195599
SRR9973341_1.fastq.gz	102849	96884
SRR9973342_1.fastq.gz	158793	148628
SRR9973343_1.fastq.gz	81385	76468
SRR9973344_1.fastq.gz	120588	112110
SRR9973345_1.fastq.gz	104059	98585
SRR9973346_1.fastq.gz	199153	184650
SRR9973347_1.fastq.gz	171654	161075
