SampleID	q0	q1	q2	BioSample	ID	SRA	SampleName	Collection_date	Depth	site	elevation	Broad_scale_environmental_context	Local_scale_environmental_context	Environmental_medium	Latitude_and_Longitude	Geographic.Location	Study_zone	Ecological_type	Parametros	Temperatura	Salinidad	pH	Redox.mV	S.2	SO4
1	S1A015	1269	330.756497172492	106.059048319578	S1A015	RSP	S1A015		2023-09-28	0.15	1A	NA					Mexico:Tabasco	Rio San Pedro	Fringe	no	NA	NA	NA	NA	NA	NA
2	S1B07	1506	164.287740904213	36.0008384406381	S1B07	RSP	S1B07		2023-09-28	0.15	1B	NA					Mexico:Tabasco	Rio San Pedro	Fringe	no	NA	NA	NA	NA	NA	NA
3	S2B07	1382	352.175797321346	106.939619117783	S2B07	RSP	S2B07		2023-09-28	0.15	2B	NA					Mexico:Tabasco	Rio San Pedro	Fringe	no	NA	NA	NA	NA	NA	NA
4	S3A07	1191	154.420544726118	37.5989222807134	S3A07	RSP	S3A07		2023-09-28	0.15	3A	NA					Mexico:Tabasco	Rio San Pedro	Fringe	no	NA	NA	NA	NA	NA	NA
5	S4B07	1566	388.115307862394	120.460248995586	S4B07	RSP	S4B07		2023-09-29	0.15	4B	NA					Mexico:Tabasco	Rio San Pedro	Fringe	no	NA	NA	NA	NA	NA	NA
6	S5A07	1160	131.373637954898	32.1498238853201	S5A07	RSP	S5A07		2023-09-29	0.15	5A	NA					Mexico:Tabasco	Rio San Pedro	Fringe	no	NA	NA	NA	NA	NA	NA
7	S5B07	1524	262.529769675817	63.2940812123566	S5B07	RSP	S5B07		2023-09-29	0.15	5B	NA					Mexico:Tabasco	Rio San Pedro	Fringe	no	NA	NA	NA	NA	NA	NA
8	S6A07	1274	324.2489399194	100.844813322145	S6A07	LC	S6A07		2023-09-30	0.15	6A	NA					Mexico:Tabasco	Laguna Cacahuate	Fringe	no	NA	NA	NA	NA	NA	NA
9	S6B07	1084	198.098153340379	51.3844144524354	S6B07	LC	S6B07		2023-09-30	0.15	6B	NA					Mexico:Tabasco	Laguna Cacahuate	Fringe	no	NA	NA	NA	NA	NA	NA
10	S7A07	1398	377.125931252012	113.156103655017	S7A07	LC	S7A07		2023-09-30	0.15	7A	NA					Mexico:Tabasco	Laguna Cacahuate	Fringe	no	NA	NA	NA	NA	NA	NA
11	S7B07	1175	303.262505537067	81.2006116334307	S7B07	LC	S7B07		2023-09-30	0.15	7B	NA					Mexico:Tabasco	Laguna Cacahuate	Fringe	no	NA	NA	NA	NA	NA	NA
12	SRR9973320	1439	647.359194784806	321.963386879616	SAMN12325039	Cel	TM5.10	SRS5272937	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no	NA	NA	NA	NA	NA	NA
13	SRR9973321	1209	444.933246672177	205.300109423215	SAMN12325040	Cel	TM5.11	SRS5272936	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no	NA	NA	NA	NA	NA	NA
14	SRR9973322	1119	493.487765499139	225.779449726526	SAMN12325036	Cel	TM5.7	SRS5272935	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no	NA	NA	NA	NA	NA	NA
15	SRR9973323	938	365.380007119292	179.091480468327	SAMN12325035	Cel	TM5.6	SRS5272934	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no	NA	NA	NA	NA	NA	NA
16	SRR9973324	1256	505.0546440089	242.535230547325	SAMN12325030	Cel	TM5.1	SRS5272933	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no	NA	NA	NA	NA	NA	NA
17	SRR9973326	869	392.217939789012	195.018237291021	SAMN12325032	Cel	TM5.3	SRS5272931	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no	NA	NA	NA	NA	NA	NA
18	SRR9973327	1287	537.934166757315	229.932549380994	SAMN12325031	Cel	TM5.2	SRS5272930	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no	NA	NA	NA	NA	NA	NA
19	SRR9973331	1379	584.781810571868	276.161480166477	SAMN12325038	Cel	TM5.9	SRS5272926	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no	NA	NA	NA	NA	NA	NA
20	SRR9973332	951	405.777836162486	201.805155241876	SAMN12325037	Cel	TM5.8	SRS5272925	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no	NA	NA	NA	NA	NA	NA
21	SRR9973344	1452	567.407496014049	247.599051202872	SAMN12325034	Cel	TM5.5	SRS5272913	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no	NA	NA	NA	NA	NA	NA
22	SRR9973347	1348	519.172764170079	245.474769399281	SAMN12325033	Cel	TM5.4	SRS5272910	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no	NA	NA	NA	NA	NA	NA
