sample-id	Depths	Location
S1A015	0-15	Dique Miguelito
S1A1530	16-30	Dique Miguelito
S1A3050	31-45	Dique Miguelito
S1A5075	50-75	Dique Miguelito
S1B07	0-15	Dique Miguelito
S1B2230	16-30	Dique Miguelito
S1B3040	31-45	Dique Miguelito
S1B6575	50-75	Dique Miguelito
S2A515	0-15	Dique Miguelito
S2A1727	16-30	Dique Miguelito
S2A3545	31-45	Dique Miguelito
S2A5060	50-75	Dique Miguelito
S2B07	0-15	Dique Miguelito
S2B1522	16-30	Dique Miguelito
S2B3040	31-45	Dique Miguelito
S2B5565	50-75	Dique Miguelito
S3A07	0-15	Dique Miguelito
S3A1522	16-30	Dique Miguelito
S3A3040	31-45	Dique Miguelito
S3A6070	50-75	Dique Miguelito
S3B515	0-15	Dique Miguelito
S3B2030	16-30	Dique Miguelito
S3B3545	31-45	Dique Miguelito
S3B6070	50-75	Dique Miguelito
S4B07	0-15	La Piedad
S4B1522	16-30	La Piedad
S4B3040	31-45	La Piedad
S4B5565	50-75	La Piedad
S5A07	0-15	La Piedad
S5A1522	16-30	La Piedad
S5A3040	31-45	La Piedad
S5A5565	50-75	La Piedad
S5B07	0-15	La Piedad
S5B1522	16-30	La Piedad
S5B3040	31-45	La Piedad
S5B5060	50-75	La Piedad
S6A07	0-15	El Cacahuate
S6A1522	16-30	El Cacahuate
S6A3040	31-45	El Cacahuate
S6B07	0-15	El Cacahuate
S6B1522	16-30	El Cacahuate
S6B3040	31-45	El Cacahuate
S7A07	0-15	El Cacahuate
S7A1522	16-30	El Cacahuate
S7A3040	31-45	El Cacahuate
S7A5060	50-75	El Cacahuate
S7B07	0-15	El Cacahuate
S7B1522	16-30	El Cacahuate
S7B3040	31-45	El Cacahuate
S7B5060	50-75	El Cacahuate
