# Constructed from biom file
#OTU ID	S1A015	S1A1530	S1A3050	S1A5075	S1B07	S1B2230	S1B3040	S1B6575	S2A1727	S2A3545	S2A5060	S2A515	S2B07	S2B1522	S2B3040	S2B5565	S3A07	S3A1522	S3A3040	S3A6070	S3B2030	S3B3545	S3B515	S3B6070	S4B07	S4B1522	S4B3040	S4B5565	S5A07	S5A1522	S5A3040	S5A5565	S5B07	S5B1522	S5B3040	S5B5060	S6A07	S6A1522	S6A3040	S6B07	S6B1522	S6B3040	S7A07	S7A1522	S7A3040	S7A5060	S7B07	S7B1522	S7B3040	S7B5060	taxonomy
ASV_2303	10.0	14.0	10.0	17.0	29.0	0.0	12.0	6.0	4.0	18.0	22.0	7.0	15.0	5.0	16.0	11.0	12.0	11.0	3.0	8.0	19.0	9.0	8.0	61.0	5.0	10.0	7.0	0.0	26.0	15.0	14.0	7.0	21.0	15.0	12.0	17.0	27.0	9.0	0.0	78.0	12.0	11.0	14.0	7.0	14.0	0.0	17.0	16.0	18.0	6.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Pseudolabrys
ASV_6775	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	2.0	16.0	0.0	6.0	5.0	11.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0	3.0	0.0	3.0	8.0	9.0	0.0	4.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__uncultured; s__uncultured_bacterium
ASV_2543	0.0	0.0	0.0	0.0	0.0	53.0	40.0	50.0	23.0	20.0	46.0	13.0	0.0	15.0	68.0	14.0	0.0	11.0	11.0	4.0	27.0	46.0	12.0	156.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__MSBL5; f__MSBL5; g__MSBL5; s__uncultured_bacterium
ASV_4404	0.0	0.0	0.0	7.0	0.0	9.0	2.0	2.0	56.0	6.0	10.0	36.0	0.0	16.0	12.0	7.0	0.0	0.0	0.0	0.0	46.0	24.0	24.0	8.0	0.0	4.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	28.0	15.0	0.0	0.0	3.0	13.0	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__SBR1031; g__SBR1031; s__uncultured_bacterium
ASV_1529	0.0	0.0	0.0	0.0	0.0	59.0	19.0	58.0	51.0	37.0	48.0	28.0	0.0	64.0	122.0	37.0	2.0	34.0	23.0	23.0	36.0	16.0	37.0	59.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	4.0	0.0	0.0	19.0	127.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	60.0	d__Bacteria; p__Latescibacterota; c__Latescibacterota; o__Latescibacterota; f__Latescibacterota; g__Latescibacterota
ASV_779	0.0	0.0	0.0	0.0	0.0	42.0	238.0	195.0	9.0	36.0	82.0	4.0	0.0	8.0	37.0	19.0	0.0	309.0	146.0	4.0	156.0	148.0	65.0	214.0	0.0	0.0	12.0	10.0	0.0	0.0	2.0	10.0	0.0	0.0	13.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured; s__uncultured_Chloroflexi
ASV_3181	0.0	97.0	22.0	26.0	2.0	17.0	9.0	21.0	9.0	7.0	5.0	0.0	49.0	15.0	25.0	20.0	23.0	0.0	0.0	0.0	0.0	6.0	0.0	47.0	0.0	18.0	21.0	9.0	0.0	0.0	26.0	2.0	0.0	11.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	10.0	0.0	0.0	2.0	2.0	d__Bacteria; p__Myxococcota; c__Polyangia; o__VHS-B3-70; f__VHS-B3-70; g__VHS-B3-70; s__uncultured_bacterium
ASV_2151	0.0	0.0	0.0	0.0	0.0	58.0	42.0	69.0	33.0	17.0	28.0	44.0	0.0	60.0	68.0	30.0	0.0	17.0	30.0	4.0	38.0	29.0	25.0	64.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	17.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	17.0	d__Bacteria; p__Zixibacteria; c__Zixibacteria; o__Zixibacteria; f__Zixibacteria; g__Zixibacteria; s__candidate_division
ASV_1239	0.0	0.0	12.0	0.0	44.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	12.0	0.0	249.0	13.0	0.0	607.0	9.0	5.0	59.0	0.0	0.0	0.0	86.0	95.0	18.0	14.0	d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Rokubacteriales; f__Rokubacteriales; g__Rokubacteriales; s__uncultured_bacterium
ASV_2331	0.0	0.0	0.0	0.0	0.0	30.0	26.0	18.0	17.0	8.0	17.0	19.0	0.0	21.0	6.0	20.0	0.0	0.0	0.0	0.0	14.0	24.0	11.0	76.0	0.0	0.0	30.0	46.0	0.0	0.0	3.0	9.0	0.0	0.0	16.0	26.0	0.0	44.0	12.0	0.0	0.0	10.0	2.0	32.0	36.0	4.0	0.0	17.0	89.0	15.0	d__Bacteria; p__Latescibacterota; c__Latescibacterota; o__Latescibacterota; f__Latescibacterota; g__Latescibacterota
