#Num samples: 50
#Num observations: 7097
#Total count: 9006498
#Table density (fraction of non-zero values): 0.433
#Counts/sample summary:
# Min: 66413.000
# Max: 674846.000
# Median: 171486.500
# Mean: 180129.960
# Std. dev.: 80669.180
# Sample Metadata Categories: None provided
# Observation Metadata Categories: Confidence; taxonomy
#Counts/sample detail:
S7A5060: 66413.000
S5A5565: 97081.000
S3A6070: 101979.000
S3A07: 116212.000
S3A3040: 123813.000
S7B07: 126406.000
S4B1522: 127631.000
S3B515: 129415.000
S2B5565: 132348.000
S2B07: 140634.000
S5A1522: 141134.000
S2A515: 148403.000
S1A3050: 148635.000
S7B5060: 150051.000
S5B1522: 152741.000
S3A1522: 153653.000
S6B3040: 154919.000
S1A5075: 156229.000
S6A3040: 158088.000
S1B3040: 161923.000
S2A3545: 166680.000
S5B07: 167372.000
S1B07: 168337.000
S5A07: 168544.000
S7A1522: 170899.000
S6B1522: 172074.000
S6A1522: 172459.000
S1A015: 174117.000
S7A07: 178714.000
S3B3545: 178782.000
S7B1522: 179161.000
S2B1522: 180259.000
S2A1727: 180373.000
S6A07: 184588.000
S4B3040: 188746.000
S1B6575: 192421.000
S4B5565: 192728.000
S5A3040: 199818.000
S7B3040: 200519.000
S6B07: 201962.000
S4B07: 206504.000
S3B2030: 208195.000
S1A1530: 208623.000
S2B3040: 210603.000
S7A3040: 215740.000
S1B2230: 218877.000
S2A5060: 220547.000
S5B5060: 238077.000
S5B3040: 298225.000
S3B6070: 674846.000
