# Constructed from biom file
#OTU ID	S1A015	S1A1530	S1A3050	S1A5075	S1B07	S1B2230	S1B3040	S1B6575	S2A1727	S2A3545	S2A5060	S2A515	S2B07	S2B1522	S2B3040	S2B5565	S3A07	S3A1522	S3A3040	S3A6070	S3B2030	S3B3545	S3B515	S3B6070	S4B07	S4B1522	S4B3040	S4B5565	S5A07	S5A1522	S5A3040	S5A5565	S5B07	S5B1522	S5B3040	S5B5060	S6A07	S6A1522	S6A3040	S6B07	S6B1522	S6B3040	S7A07	S7A1522	S7A3040	S7A5060	S7B07	S7B1522	S7B3040	S7B5060
K00001	26262.129999999997	38141.33	19954.16	14658.95	29870.289999999997	19106.93	16474.69	8254.1	10223.779999999999	15885.189999999999	14921.78	10801.08	26168.08	15091.210000000001	22444.06	8348.39	13633.11	20445.04	7955.08	7562.64	12930.07	11843.7	8433.98	72228.58	40084.1	18258.37	16573.8	15525.21	28600.43	17498.379999999997	26690.679999999997	10211.64	27840.22	21717.54	53316.4	41571.69	33024.2	31104.72	18663.0	38414.770000000004	27484.53	22359.81	48426.759999999995	25677.129999999997	22254.410000000003	4013.4300000000003	27766.73	37563.94	28166.949999999997	16536.4
K00002	87.5	151.0	207.5	83.0	108.0	71.0	83.0	45.0	34.0	109.0	124.0	30.0	68.0	38.0	74.0	78.0	127.5	105.0	93.5	66.0	90.5	81.0	48.5	188.5	70.5	46.0	64.0	57.5	129.0	106.5	118.0	174.0	241.0	46.5	79.5	76.0	93.0	45.0	64.0	114.0	93.0	89.0	178.0	31.0	83.0	18.0	59.0	49.0	75.0	98.0
K00003	146718.56	180666.32	128102.61	130265.09000000001	129182.59	189338.37000000002	136104.25	172851.41	158936.06	136912.24	187617.13999999998	129087.19	118908.92000000001	153092.99	140103.04	113160.30000000002	90205.04999999999	120484.86	105791.23	83859.67000000001	180887.25	149915.44	111293.34	462385.49	177246.78	112066.99000000002	162730.33000000002	168668.18	125608.35	111973.44	167513.56	84515.31	136683.63999999998	129969.4	248220.69	204184.49	152794.09999999998	146484.62	129395.01000000001	158803.2	140384.47999999998	127471.5	151933.47	148147.36	186871.28	58980.95	104679.10999999999	151558.09	165960.21	123456.16
K00004	4637.1	4314.05	4496.25	3852.0	10135.37	7738.720000000001	7934.18	3603.9700000000003	3192.48	6773.929999999999	7479.110000000001	3177.95	5950.49	6171.2	10908.46	4488.43	6897.25	7079.08	4118.37	7165.05	6454.88	6751.65	4104.9	22325.14	5009.1	3025.25	4796.450000000001	4235.9	10591.23	7152.7	8514.43	4300.62	7708.9800000000005	5881.05	13352.429999999998	10814.529999999999	4847.3	3929.18	7499.7	9803.53	6292.55	5775.67	5130.05	3168.2999999999997	5527.05	1606.7	4086.85	5836.25	7535.02	6476.7
K00005	25461.19	23689.43	22261.04	31712.79	61502.729999999996	30454.940000000002	35607.85	19514.629999999997	16421.399999999998	37416.25	41749.28	15849.910000000002	24204.76	22672.239999999998	39161.13	24920.29	44959.85	36785.869999999995	22050.879999999997	30387.82	32307.800000000003	35470.19	20287.17	158115.13	25302.250000000004	14894.47	27862.59	23780.98	65416.479999999996	45953.33	50044.799999999996	21082.97	41662.4	28005.27	35393.32	27976.18	30841.59	21550.730000000003	41349.93	58697.369999999995	34909.490000000005	30676.0	27682.4	17746.97	28739.33	8853.300000000001	22694.67	22554.57	48265.3	39779.5
K00006	31.0	11.0	5.0	6.0	87.0	0.0	0.0	3.0	0.0	31.0	12.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.0	30.0	37.0	12.0	11.0	16.0	7.0	0.0	33.0	57.0	46.0	6.0	680.0	405.0	81.0	1213.0	652.0	202.0	238.0	364.0	78.0	15.0	756.0	465.0	294.0	139.0
K00007	2125.3	3392.09	1717.07	884.66	2271.49	594.45	529.5500000000001	440.32000000000005	389.54	829.8799999999999	767.6300000000001	491.84000000000003	1914.2799999999997	614.8900000000001	947.5699999999999	420.53000000000003	1046.5900000000001	1056.6699999999998	492.83	382.12	547.57	693.21	446.76	1569.7799999999997	2420.5	1640.78	869.9000000000001	1012.81	1842.0300000000002	1181.62	2699.2799999999997	346.98	1825.6299999999999	1713.94	5289.799999999999	2150.2599999999998	1941.87	1374.52	1357.0700000000002	1964.2199999999998	1380.01	1112.02	5518.65	1486.67	522.8100000000001	198.35	2611.6	2547.02	2254.89	1245.48
K00008	39573.55	75630.78	45569.21000000001	58141.94	38967.55	129832.16	93558.51999999999	132314.75	117973.64000000001	68101.14	118822.18999999999	87741.91	55398.96	108403.42000000001	87422.19	74019.33	37073.36	77509.27	76728.84	69962.73999999999	123581.66	98756.07999999999	75114.28	269746.62	64367.350000000006	53024.35	87880.8	93945.2	35469.0	32975.66	57863.79	48148.85	43691.58	46848.48	128336.83	137002.47	49995.32000000001	64863.42	64930.06	54494.369999999995	56791.520000000004	56103.14	61999.9	70785.44	101538.63	39555.96	38492.24	61464.47	75673.9	58214.130000000005
K00009	20845.11	18969.77	15897.52	22234.539999999997	48227.340000000004	23339.510000000002	28326.84	15426.82	12791.77	29022.879999999997	32480.329999999994	12662.61	18771.82	18255.510000000002	43656.93000000001	19910.010000000002	36133.14	29264.71	16834.18	17163.88	25167.340000000004	27425.92	15875.52	114321.04	20382.56	12104.56	22670.0	19724.989999999998	51440.33	35899.23	40112.39	15544.97	32370.360000000004	21394.93	26544.51	22108.66	25588.11	17557.039999999997	31830.86	45815.19	28707.019999999997	24673.73	21932.370000000003	15103.5	23402.66	6590.29	19246.219999999998	18961.65	38254.72	31203.460000000003
K00010	7057.59	9179.2	6476.16	3940.2800000000007	10671.619999999999	4471.4400000000005	4546.629999999999	3110.72	2814.6800000000003	5869.03	6335.789999999999	2886.67	8540.07	7205.76	11183.97	3573.41	6772.23	6602.750000000001	3390.04	3904.4799999999996	4828.43	5110.51	3906.4300000000003	17190.75	7232.31	5117.03	5183.68	4777.110000000001	10161.84	6971.68	9515.080000000002	3002.29	8290.15	6049.540000000001	15258.079999999998	6907.839999999999	6535.0599999999995	5197.34	7089.5199999999995	8762.54	6406.85	5534.120000000001	13385.820000000002	5166.07	4973.14	1477.67	7382.02	7564.410000000001	9141.65	6738.580000000001
