# Constructed from biom file
#OTU ID	S1A015	S1A1530	S1A3050	S1A5075	S1B07	S1B2230	S1B3040	S1B6575	S2A1727	S2A3545	S2A5060	S2A515	S2B07	S2B1522	S2B3040	S2B5565	S3A07	S3A1522	S3A3040	S3A6070	S3B2030	S3B3545	S3B515	S3B6070	S4B07	S4B1522	S4B3040	S4B5565	S5A07	S5A1522	S5A3040	S5A5565	S5B07	S5B1522	S5B3040	S5B5060	S6A07	S6A1522	S6A3040	S6B07	S6B1522	S6B3040	S7A07	S7A1522	S7A3040	S7A5060	S7B07	S7B1522	S7B3040	S7B5060
1CMET2-PWY	135365.6152071719	157445.28342596203	115617.4890166012	119974.63910905545	140049.2598461702	166192.28545189655	121167.90967500911	139436.27424197592	130988.37292129117	133106.92015990487	172180.36577258128	111437.92721320633	113686.89054290003	137310.53260264551	163752.12493355924	101273.04979885944	94807.03000507795	115028.77101254083	95272.48583429352	76574.79934443095	159300.99485346643	138211.07597489774	100691.23969469337	471172.67165241344	166940.49503342411	99077.84998600637	142715.00294513642	146218.6048847387	141135.9749877618	115095.47690153743	160952.9214559958	72707.02186735085	137644.33483988242	124242.5821909697	234714.30090975607	178271.93922165467	140791.3422746819	127332.44550034995	124797.88464594695	164885.62107573394	131519.07197447895	119782.86361316727	140775.56109806124	124314.85247585067	160953.38486399452	49179.94037282352	96491.13764147084	136236.38699216172	154208.7515796518	115691.41338856108
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	9902.697980233177	11634.802304851812	7363.53588687633	7261.533676214638	18830.57151793999	8808.838834511751	9608.547004533137	6174.083182360385	5242.206453832059	11295.70372685888	12197.811962659778	5193.551939170323	9116.511077282441	6898.219226281495	11728.37292733584	7204.3335095594475	12778.97396267894	10886.41036946401	6755.233093940492	9576.819799612327	9364.40895932091	10654.269798651685	6682.669535300459	31993.886684580673	10446.51734557728	6518.597986653337	9443.867815014835	7867.837986417339	19438.185549281996	14439.938603106179	16893.85028524562	6835.557156909706	13274.30385819333	10123.811600754621	17530.833792527465	11966.63407821762	11762.207071035533	8248.861116920654	12810.295156266748	19839.826212382453	11718.92585723546	9811.64037423206	15821.022184685198	7244.795862704014	9267.190370412456	2750.6152061359167	9610.983513096982	10172.493266453035	16459.110467550414	12366.70889718028
AEROBACTINSYN-PWY	271.56795441824477	248.16735372086922	170.69283196604897	260.4076060036739	715.7510781661301	354.2835840192982	374.9962761067607	204.47489719407943	186.2930434887236	439.4640698858684	535.978674150378	167.54265028550626	244.9919044014023	203.8899038711354	309.44863852423754	263.13603067816933	565.4103933154681	380.98081741323347	212.15534684981552	311.7138896112982	333.44517751349997	393.45926494128554	246.3818275996597	972.0388673531538	267.9430818232458	164.5649763383093	361.4452633444848	304.79699977650944	805.0126985855698	550.3074689276472	554.337832129444	209.3273466614335	438.0537394694604	320.5865946251259	317.3177442794861	258.8388834021969	336.8915372405872	218.80536993369623	482.45246198345086	649.8707678552794	367.12541922651496	325.18883752956157	285.428424384556	183.91243338069168	342.2223497425071	91.62893023661162	237.1711529712366	272.6392989465378	526.7568202937478	436.4288380735166
ALL-CHORISMATE-PWY	47644.282890008646	48299.99956907535	39319.53799509873	54448.61096988719	81243.05185459582	55511.56550846056	52191.65907252619	37467.89498849994	33983.54997819108	59884.129232564344	67618.978280737	33170.414127156284	43270.93251991833	43181.75959602543	81759.09765932386	39323.56678878349	54815.56634617224	53666.019302390785	34796.56830837144	36185.803634768454	53855.0539309565	54586.258606605414	35217.843779043826	238289.4076858878	54609.746513162965	31867.04065768811	53253.26732463471	47646.57723652469	84752.36007361556	63867.60867925672	77093.2481292546	30937.343260133137	65161.84670212026	49498.08571566433	76774.37303479556	54088.047415214845	62599.87677382245	47420.477101516415	61704.42065372186	91595.73316771202	63526.60398257848	53408.853458412596	57474.07667641939	41328.89359217531	57843.95325334905	16242.843413740458	43296.397743134665	50059.920921766075	76251.89048911331	58891.54864169332
ANAEROFRUCAT-PWY	149888.80821381544	160413.81755577534	117872.97239733877	121882.52614959159	155251.5171003897	148477.00829079517	130823.86928622566	115176.7457537058	105252.22750203767	141023.4119370732	172107.29955738503	96907.36477040115	119231.87065719403	114188.48367840202	137422.85116670906	101939.88832543217	107623.97782213741	125488.38976911626	93299.06633161232	84124.74654458789	150258.41943120176	138827.9538885617	94526.37785356057	435798.5947013188	173831.07114679678	98946.32359651482	142145.5791234889	138608.83073876644	156756.420286849	128999.99570367283	182215.7811335041	76540.47616233268	153714.0997104054	131114.67570308511	206022.45406675732	151209.1670949388	155469.82923282436	132764.6707117481	136332.0709991001	177167.68920476883	144630.51076126614	130566.81811730073	153799.62611064437	127242.84766651722	163227.89980214534	45585.32122974195	108909.48395458242	142065.78847247583	172588.9489125055	130442.55104849019
ANAGLYCOLYSIS-PWY	179160.63471634017	219947.30186453747	155589.40141890306	165282.65323084244	178249.63866462515	222321.99702852865	164188.5738285216	188079.7328105994	177917.8285153625	172062.91271838793	224750.7796561682	151498.74187970278	150700.99659785387	178911.9109214475	207413.93431412725	133945.95123633376	122286.79898422683	153017.9950396125	122183.22657227264	98298.9154023897	208556.53663329998	179851.06197134888	131020.53539934271	585366.0920354872	218598.6263265212	135315.63287378463	198080.92321084498	199234.94872322693	175260.22903867904	149500.68212184386	211176.73472420176	100471.34100282389	178126.3741834015	160700.0359269078	295863.71316487965	226024.7073059484	193970.33408500516	178559.4234829519	164194.41347061234	214174.3227704848	181631.94399465283	161844.0127463939	190514.74064557135	178754.5241576554	224125.7441877521	67269.1481585035	132903.31713283746	187642.269984151	211135.92998489848	157643.7414282285
ARG+POLYAMINE-SYN	73888.18231891053	94498.411209216	65624.2738189305	67851.59099171306	78116.74643553786	84313.3349909209	61828.675415146856	61006.43885131315	59070.405330525056	72440.82477623686	85973.05352724211	53089.75434770945	64955.693343641346	69844.19258549724	84162.81482929563	49943.482418255684	53921.23607461368	64752.36819828595	45279.28567008271	41097.77707165978	74503.43608572152	66234.1380693304	53004.53458366026	245036.03937927374	90118.08115880922	54783.77875513241	76859.45065704001	73331.1571500671	78201.88143666812	64928.09462272552	90730.51597711578	43370.9550317236	75336.38635548414	67840.72970787343	132074.02965172872	94876.56561311138	84924.60883762235	76241.8823842038	68302.2138317685	96059.77762524138	78142.21154348746	67332.39375468495	85219.92961780292	74655.0540870509	89826.77346958511	25108.327956486435	60469.128472452816	84281.0684530962	92461.88469983562	67554.07901371858
ARGDEG-PWY	6398.9314384141	5674.913213385096	3957.21074768339	5383.281347698337	15456.125188707752	7926.457849035087	8767.440791404291	5062.476548235174	4534.765936711059	9319.47228784131	10887.358061955905	4079.7377776134326	5376.162203246161	5130.14248651872	8478.542138254117	6123.475955971871	10515.891747478414	12991.862216379805	5224.037252930299	8995.370637453718	8285.059525473358	8786.834936583653	5185.259941650322	52530.32666383405	5815.478199785119	3693.7003176748767	7439.688323068014	6288.099115837522	15649.10086464408	11263.416148733435	12601.938528061874	6089.103131296391	10483.377068620806	7237.755761182021	9300.58413203332	15236.038846187188	8023.158132803979	5738.864516307978	10487.67017921576	14069.935807759886	8935.117972469461	7782.838951423634	7171.927180059786	4753.037072398802	8671.36325167557	2337.7331116014398	5400.068607407211	5755.489627870772	11837.6368568875	9626.95795501714
ARGORNPROST-PWY	27539.883631745088	31487.447898021448	26384.098947206145	25221.8004586721	36248.29999542273	30114.760742368668	24105.079563144518	21634.979194083924	17930.055277131447	26043.41184951183	30449.609009697215	15288.454303000068	25582.159297205817	26820.34405188532	51146.415105307504	19443.0051812116	24486.59744108129	29593.27323792852	21140.623063377006	17732.123843123896	27917.552456620044	27853.155029842663	19797.837831918805	113768.89851058974	27256.37629723959	16869.057630005907	22677.253152511665	21966.868677586648	40768.141640445334	27646.51907749437	40801.07487684828	17781.286228436456	29027.674413237302	27120.22046140441	54745.00484708323	42939.881436926364	32496.513283324166	26583.870555707857	32863.638500325695	48220.35640149086	29699.5182096052	27112.719937400183	35343.18831252282	23095.110074307984	33105.09457657094	10134.955211691895	24957.485726359606	30131.33986752914	40137.68109458498	29280.619089748077
ARGSYN-PWY	156363.186609431	196217.77641139977	137009.20476826045	151680.70509256714	154896.70723897868	209575.78341461354	152021.02954582954	183624.320482591	171561.5373835122	155996.35783941078	209030.6125240193	142584.27835474708	133590.26593823123	170717.60172659493	191217.56872093328	125929.1308000986	108312.36047495464	139280.27775260128	116741.60349872721	94949.1367941917	197869.36947800464	165560.68460509632	121355.61520011294	542471.0518721279	188241.1251953801	121059.10685825389	181781.77986974455	185235.0154884718	153234.42582080566	131126.9696195095	187220.2135733467	92063.21553101068	155009.78069072778	142259.9998672294	270169.8537542148	214844.32017548385	174601.1449759103	164315.252423615	148919.50699577163	190283.87599171468	163611.14675052968	145158.13213612567	168014.6048897266	163407.92129820422	205541.55690500943	63314.94086410455	118940.0290629165	169634.61531213886	192240.2340068198	142513.91334691242
