#OTU ID	description	S1A015	S1A1530	S1A3050	S1A5075	S1B07	S1B2230	S1B3040	S1B6575	S2A1727	S2A3545	S2A5060	S2A515	S2B07	S2B1522	S2B3040	S2B5565	S3A07	S3A1522	S3A3040	S3A6070	S3B2030	S3B3545	S3B515	S3B6070	S4B07	S4B1522	S4B3040	S4B5565	S5A07	S5A1522	S5A3040	S5A5565	S5B07	S5B1522	S5B3040	S5B5060	S6A07	S6A1522	S6A3040	S6B07	S6B1522	S6B3040	S7A07	S7A1522	S7A3040	S7A5060	S7B07	S7B1522	S7B3040	S7B5060
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	135365.615207172	157445.283425962	115617.489016601	119974.639109055	140049.25984617	166192.285451897	121167.909675009	139436.274241976	130988.372921291	133106.920159905	172180.365772581	111437.927213206	113686.8905429	137310.532602646	163752.124933559	101273.049798859	94807.0300050779	115028.771012541	95272.4858342935	76574.799344431	159300.994853466	138211.075974898	100691.239694693	471172.671652413	166940.495033424	99077.8499860064	142715.002945136	146218.604884739	141135.974987762	115095.476901537	160952.921455996	72707.0218673508	137644.334839882	124242.58219097	234714.300909756	178271.939221655	140791.342274682	127332.44550035	124797.884645947	164885.621075734	131519.071974479	119782.863613167	140775.561098061	124314.852475851	160953.384863995	49179.9403728235	96491.1376414708	136236.386992162	154208.751579652	115691.413388561
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	9902.69798023318	11634.8023048518	7363.53588687633	7261.53367621464	18830.57151794	8808.83883451175	9608.54700453314	6174.08318236038	5242.20645383206	11295.7037268589	12197.8119626598	5193.55193917032	9116.51107728244	6898.2192262815	11728.3729273358	7204.33350955945	12778.9739626789	10886.410369464	6755.23309394049	9576.81979961233	9364.40895932091	10654.2697986517	6682.66953530046	31993.8866845807	10446.5173455773	6518.59798665334	9443.86781501484	7867.83798641734	19438.185549282	14439.9386031062	16893.8502852456	6835.55715690971	13274.3038581933	10123.8116007546	17530.8337925275	11966.6340782176	11762.2070710355	8248.86111692065	12810.2951562667	19839.8262123825	11718.9258572355	9811.64037423206	15821.0221846852	7244.79586270401	9267.19037041246	2750.61520613592	9610.98351309698	10172.493266453	16459.1104675504	12366.7088971803
AEROBACTINSYN-PWY	aerobactin biosynthesis	271.567954418245	248.167353720869	170.692831966049	260.407606003674	715.75107816613	354.283584019298	374.996276106761	204.474897194079	186.293043488724	439.464069885868	535.978674150378	167.542650285506	244.991904401402	203.889903871135	309.448638524238	263.136030678169	565.410393315468	380.980817413233	212.155346849816	311.713889611298	333.4451775135	393.459264941286	246.38182759966	972.038867353154	267.943081823246	164.564976338309	361.445263344485	304.796999776509	805.01269858557	550.307468927647	554.337832129444	209.327346661433	438.05373946946	320.586594625126	317.317744279486	258.838883402197	336.891537240587	218.805369933696	482.452461983451	649.870767855279	367.125419226515	325.188837529562	285.428424384556	183.912433380692	342.222349742507	91.6289302366116	237.171152971237	272.639298946538	526.756820293748	436.428838073517
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	47644.2828900086	48299.9995690753	39319.5379950987	54448.6109698872	81243.0518545958	55511.5655084606	52191.6590725262	37467.8949884999	33983.5499781911	59884.1292325643	67618.978280737	33170.4141271563	43270.9325199183	43181.7595960254	81759.0976593239	39323.5667887835	54815.5663461722	53666.0193023908	34796.5683083714	36185.8036347685	53855.0539309565	54586.2586066054	35217.8437790438	238289.407685888	54609.746513163	31867.0406576881	53253.2673246347	47646.5772365247	84752.3600736156	63867.6086792567	77093.2481292546	30937.3432601331	65161.8467021203	49498.0857156643	76774.3730347956	54088.0474152148	62599.8767738224	47420.4771015164	61704.4206537219	91595.733167712	63526.6039825785	53408.8534584126	57474.0766764194	41328.8935921753	57843.953253349	16242.8434137405	43296.3977431347	50059.9209217661	76251.8904891133	58891.5486416933
ANAEROFRUCAT-PWY	homolactic fermentation	149888.808213815	160413.817555775	117872.972397339	121882.526149592	155251.51710039	148477.008290795	130823.869286226	115176.745753706	105252.227502038	141023.411937073	172107.299557385	96907.3647704012	119231.870657194	114188.483678402	137422.851166709	101939.888325432	107623.977822137	125488.389769116	93299.0663316123	84124.7465445879	150258.419431202	138827.953888562	94526.3778535606	435798.594701319	173831.071146797	98946.3235965148	142145.579123489	138608.830738766	156756.420286849	128999.995703673	182215.781133504	76540.4761623327	153714.099710405	131114.675703085	206022.454066757	151209.167094939	155469.829232824	132764.670711748	136332.0709991	177167.689204769	144630.510761266	130566.818117301	153799.626110644	127242.847666517	163227.899802145	45585.321229742	108909.483954582	142065.788472476	172588.948912505	130442.55104849
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	179160.63471634	219947.301864537	155589.401418903	165282.653230842	178249.638664625	222321.997028529	164188.573828522	188079.732810599	177917.828515362	172062.912718388	224750.779656168	151498.741879703	150700.996597854	178911.910921448	207413.934314127	133945.951236334	122286.798984227	153017.995039612	122183.226572273	98298.9154023897	208556.5366333	179851.061971349	131020.535399343	585366.092035487	218598.626326521	135315.632873785	198080.923210845	199234.948723227	175260.229038679	149500.682121844	211176.734724202	100471.341002824	178126.374183401	160700.035926908	295863.71316488	226024.707305948	193970.334085005	178559.423482952	164194.413470612	214174.322770485	181631.943994653	161844.012746394	190514.740645571	178754.524157655	224125.744187752	67269.1481585035	132903.317132837	187642.269984151	211135.929984898	157643.741428229
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	6398.9314384141	5674.9132133851	3957.21074768339	5383.28134769834	15456.1251887078	7926.45784903509	8767.44079140429	5062.47654823517	4534.76593671106	9319.47228784131	10887.3580619559	4079.73777761343	5376.16220324616	5130.14248651872	8478.54213825412	6123.47595597187	10515.8917474784	12991.8622163798	5224.0372529303	8995.37063745372	8285.05952547336	8786.83493658365	5185.25994165032	52530.3266638341	5815.47819978512	3693.70031767488	7439.68832306801	6288.09911583752	15649.1008646441	11263.4161487334	12601.9385280619	6089.10313129639	10483.3770686208	7237.75576118202	9300.58413203332	15236.0388461872	8023.15813280398	5738.86451630798	10487.6701792158	14069.9358077599	8935.11797246946	7782.83895142363	7171.92718005979	4753.0370723988	8671.36325167557	2337.73311160144	5400.06860740721	5755.48962787077	11837.6368568875	9626.95795501714
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	27539.8836317451	31487.4478980214	26384.0989472061	25221.8004586721	36248.2999954227	30114.7607423687	24105.0795631445	21634.9791940839	17930.0552771314	26043.4118495118	30449.6090096972	15288.4543030001	25582.1592972058	26820.3440518853	51146.4151053075	19443.0051812116	24486.5974410813	29593.2732379285	21140.623063377	17732.1238431239	27917.55245662	27853.1550298427	19797.8378319188	113768.89851059	27256.3762972396	16869.0576300059	22677.2531525117	21966.8686775866	40768.1416404453	27646.5190774944	40801.0748768483	17781.2862284365	29027.6744132373	27120.2204614044	54745.0048470832	42939.8814369264	32496.5132833242	26583.8705557079	32863.6385003257	48220.3564014909	29699.5182096052	27112.7199374002	35343.1883125228	23095.110074308	33105.0945765709	10134.9552116919	24957.4857263596	30131.3398675291	40137.681094585	29280.6190897481
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	73888.1823189105	94498.411209216	65624.2738189305	67851.5909917131	78116.7464355379	84313.3349909209	61828.6754151469	61006.4388513131	59070.4053305251	72440.8247762369	85973.0535272421	53089.7543477095	64955.6933436413	69844.1925854972	84162.8148292956	49943.4824182557	53921.2360746137	64752.3681982859	45279.2856700827	41097.7770716598	74503.4360857215	66234.1380693304	53004.5345836603	245036.039379274	90118.0811588092	54783.7787551324	76859.45065704	73331.1571500671	78201.8814366681	64928.0946227255	90730.5159771158	43370.9550317236	75336.3863554841	67840.7297078734	132074.029651729	94876.5656131114	84924.6088376223	76241.8823842038	68302.2138317685	96059.7776252414	78142.2115434875	67332.3937546849	85219.9296178029	74655.0540870509	89826.7734695851	25108.3279564864	60469.1284724528	84281.0684530962	92461.8846998356	67554.0790137186
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	177918.676794859	216828.933529634	152336.217386754	166554.259400578	169485.697911426	230163.003622381	166161.8424079	201405.658032502	187544.694169149	171204.714743453	229306.555462519	156571.779428205	147256.096595176	187493.434202224	208057.810393227	137889.977925564	117986.613880011	152429.137154276	128165.331415597	103048.531712897	216839.531595677	181596.917253849	133374.140917144	595009.970741123	214379.139911193	133988.450437526	200225.254565533	204314.038736117	166467.825817012	143381.152584362	206197.663379366	101224.89419747	170697.526163233	157516.376209708	298007.281929281	236417.160901028	190405.315432406	179240.126821416	163245.957982768	206295.481785087	178093.957530837	158385.222206664	184412.44946254	179001.761749595	225208.840309596	69791.2653132372	129756.777519749	185543.055017411	210037.750519093	155952.271215555
