Depth_cm	Site	qs	means	sd
1	0-15	Site_1	q0=Observed	2639	526.087445202791
2	0-15	Site_1	q0f=PD Faith	198.317700185543	37.2783963020903
3	0-15	Site_1	q1=Exp Shannon	472.71966723014	153.163707800764
4	0-15	Site_1	q2=Inv Simpson	117.74744965192	77.4398928406188
5	0-15	Site_2	q0=Observed	3141.5	771.453498274523
6	0-15	Site_2	q0f=PD Faith	224.008158293064	40.359020649789
7	0-15	Site_2	q1=Exp Shannon	941.331211179223	338.793833795297
8	0-15	Site_2	q2=Inv Simpson	287.879574183527	115.636639222449
9	0-15	Site_3	q0=Observed	2771	780.645886429949
10	0-15	Site_3	q0f=PD Faith	211.159756089462	41.8935589210454
11	0-15	Site_3	q1=Exp Shannon	612.433424792618	428.577105205915
12	0-15	Site_3	q2=Inv Simpson	150.384852376823	123.02254376427
13	0-15	Site_4	q0=Observed	3009	NA
14	0-15	Site_4	q0f=PD Faith	213.430273684457	NA
15	0-15	Site_4	q1=Exp Shannon	815.329599956743	NA
16	0-15	Site_4	q2=Inv Simpson	225.349727611247	NA
17	0-15	Site_5	q0=Observed	2474.5	586.191521603648
18	0-15	Site_5	q0f=PD Faith	186.151050043629	37.2224829651818
19	0-15	Site_5	q1=Exp Shannon	409.197021121613	230.02890070428
20	0-15	Site_5	q2=Inv Simpson	86.7796590108937	45.5904945362441
21	0-15	Site_6	q0=Observed	2064	384.666088965482
22	0-15	Site_6	q0f=PD Faith	171.802506565007	21.5783844955957
23	0-15	Site_6	q1=Exp Shannon	545.260754424166	216.842017399491
24	0-15	Site_6	q2=Inv Simpson	152.091538018188	82.6626277366418
25	0-15	Site_7	q0=Observed	2284.5	330.218866814118
26	0-15	Site_7	q0f=PD Faith	181.972368321428	20.1242397372335
27	0-15	Site_7	q1=Exp Shannon	704.847774305801	89.8375397754387
28	0-15	Site_7	q2=Inv Simpson	198.055174190899	38.0958981256211
29	16-30	Site_1	q0=Observed	3527.5	630.032142037214
30	16-30	Site_1	q0f=PD Faith	239.67929954107	37.5659625665335
31	16-30	Site_1	q1=Exp Shannon	1025.92115644948	143.111424125769
32	16-30	Site_1	q2=Inv Simpson	331.030485914219	15.1644971267928
33	16-30	Site_2	q0=Observed	3565.5	53.0330085889911
34	16-30	Site_2	q0f=PD Faith	248.018427566122	9.29197996953472
35	16-30	Site_2	q1=Exp Shannon	1048.87991620325	100.644705340833
36	16-30	Site_2	q2=Inv Simpson	346.736185513097	77.1005129254122
37	16-30	Site_3	q0=Observed	2596	886.711903607931
38	16-30	Site_3	q0f=PD Faith	198.507248637757	46.5232031413736
39	16-30	Site_3	q1=Exp Shannon	588.704065529726	320.949188122881
40	16-30	Site_3	q2=Inv Simpson	163.828868446568	80.8718131463202
41	16-30	Site_4	q0=Observed	3335	NA
42	16-30	Site_4	q0f=PD Faith	236.829273723488	NA
