ID	Sample	Sitio	Tipo de muestra	Fecha de colecta	Localidad	profundidad (cm)	latitud	longitud	Temperatura (°C) int	Salnidad (ppm)int	Salinidad (ppt)int	pH int	Redox medido en campo	Redox mV (Eh)int	Temperatura (°C)sup	Salnidad (ppm)sup	Salinidad (ppt)sup	pHsup	Redox medido en campo	Redox mV (Eh)sup	S-2 (mg/l) campo	ml de muestra	Factor de dilucion	S-2 (mg/l)	ID	SO₄²- (mg/l) campo	ml de muestra	Factor de dilucion	SO₄ ² (mg/l)
S1A015	S1A015	Sitio 1	SEDIMENTO	"28/09/2023"	Dique Miguelito	0-15	 17°44'55.16"N	91°14'50.71"O	31.4	817.5	0.82	6.55	-114	121	33.0	734.7	0.73	7.34	-108	127	7.73	25	1	7.73	S1a M	53.7	2	10	537.0
S1A1530	S1A1530	Sitio 1	SEDIMENTO	"28/09/2023"	Dique Miguelito	15-30	 17°44'55.16"N	91°14'50.71"O	31.4	817.5	0.82	6.55	-114	121	33.0	734.7	0.73	7.34	-108	127	7.73	25	1	7.73	S1a M	53.7	2	10	537.0
S1A3050	S1A3050	Sitio 1	SEDIMENTO	"28/09/2023"	Dique Miguelito	30-50	 17°44'55.16"N	91°14'50.71"O	31.4	817.5	0.82	6.55	-114	121	33.0	734.7	0.73	7.34	-108	127	7.73	25	1	7.73	S1a M	53.7	2	10	537.0
S1A5075	S1A5075	Sitio 1	SEDIMENTO	"28/09/2023"	Dique Miguelito	50-75	 17°44'55.16"N	91°14'50.71"O	31.4	817.5	0.82	6.55	-114	121	33.0	734.7	0.73	7.34	-108	127	7.73	25	1	7.73	S1a M	53.7	2	10	537.0
S1B07	S1B07	Sitio 1	SEDIMENTO	"28/09/2023"	Dique Miguelito	0-7	17°44'54.73"N	 91°14'48.49"O	30.9	794.0	0.79	6.69	-234	1	33.2	732.8	0.73	7.79	-136	99	7.09	25	1	7.09	S1b M	55.0	2	10	550.0
S1B2230	S1B2230	Sitio 1	SEDIMENTO	"28/09/2023"	Dique Miguelito	22-30	17°44'54.73"N	 91°14'48.49"O	30.9	794.0	0.79	6.69	-234	1	33.2	732.8	0.73	7.79	-136	99	7.09	25	1	7.09	S1b M	55.0	2	10	550.0
S1B3040	S1B3040	Sitio 1	SEDIMENTO	"28/09/2023"	Dique Miguelito	30-40	17°44'54.73"N	 91°14'48.49"O	30.9	794.0	0.79	6.69	-234	1	33.2	732.8	0.73	7.79	-136	99	7.09	25	1	7.09	S1b M	55.0	2	10	550.0
S1B6575	S1B6575	Sitio 1	SEDIMENTO	"28/09/2023"	Dique Miguelito	65-75	17°44'54.73"N	 91°14'48.49"O	30.9	794.0	0.79	6.69	-234	1	33.2	732.8	0.73	7.79	-136	99	7.09	25	1	7.09	S1b M	55.0	2	10	550.0
S2A515	S2A515	Sitio 2	SEDIMENTO	"28/09/2023"	Dique Miguelito	5-15	 17°45'38.75"N	 91°12'56.61"O	32.2	741.6	0.74	7.30	-122	113	34.1	741.1	0.74	7.82	-108	127	0.12	25	1	0.12	S2a M	54.5	2	10	545.0
S2A1727	S2A1727	Sitio 2	SEDIMENTO	"28/09/2023"	Dique Miguelito	17-27	 17°45'38.75"N	 91°12'56.61"O	32.2	741.6	0.74	7.30	-122	113	34.1	741.1	0.74	7.82	-108	127	0.12	25	1	0.12	S2a M	54.5	2	10	545.0
S2A3545	S2A3545	Sitio 2	SEDIMENTO	"28/09/2023"	Dique Miguelito	35-45	 17°45'38.75"N	 91°12'56.61"O	32.2	741.6	0.74	7.30	-122	113	34.1	741.1	0.74	7.82	-108	127	0.12	25	1	0.12	S2a M	54.5	2	10	545.0
S2A5060	S2A5060	Sitio 2	SEDIMENTO	"28/09/2023"	Dique Miguelito	50-60	 17°45'38.75"N	 91°12'56.61"O	32.2	741.6	0.74	7.30	-122	113	34.1	741.1	0.74	7.82	-108	127	0.12	25	1	0.12	S2a M	54.5	2	10	545.0
S2B07	S2B07	Sitio 2	SEDIMENTO	"28/09/2023"	Dique Miguelito	0-7	 17°45'46.36"N	 91°12'58.55"O	31.3	757.8	0.76	7.07	-140	95	33.3	742.9	0.74	7.78	-134	101	1.20	25	1	1.20	S2b M	55.3	2	10	553.0
S2B1522	S2B1522	Sitio 2	SEDIMENTO	"28/09/2023"	Dique Miguelito	15-22	 17°45'46.36"N	 91°12'58.55"O	31.3	757.8	0.76	7.07	-140	95	33.3	742.9	0.74	7.78	-134	101	1.20	25	1	1.20	S2b M	55.3	2	10	553.0
S2B3040	S2B3040	Sitio 2	SEDIMENTO	"28/09/2023"	Dique Miguelito	30-40	 17°45'46.36"N	 91°12'58.55"O	31.3	757.8	0.76	7.07	-140	95	33.3	742.9	0.74	7.78	-134	101	1.20	25	1	1.20	S2b M	55.3	2	10	553.0
S2B5565	S2B5565	Sitio 2	SEDIMENTO	"28/09/2023"	Dique Miguelito	55-65	 17°45'46.36"N	 91°12'58.55"O	31.3	757.8	0.76	7.07	-140	95	33.3	742.9	0.74	7.78	-134	101	1.20	25	1	1.20	S2b M	55.3	2	10	553.0
S3A07	S3A07	Sito 3	SEDIMENTO	"28/09/2023"	Dique Miguelito	0-7	17°46'50.04"N	 91°10'13.98"O	32.0	818.2	0.82	6.71	-281	-46	33.5	752.1	0.75	7.79	-117	118	6.34	25	1	6.34	S3a M	36.4	2	10	364.0
S3A1522	S3A1522	Sito 3	SEDIMENTO	"28/09/2023"	Dique Miguelito	15-22	17°46'50.04"N	 91°10'13.98"O	32.0	818.2	0.82	6.71	-281	-46	33.5	752.1	0.75	7.79	-117	118	6.34	25	1	6.34	S3a M	36.4	2	10	364.0
S3A3040	S3A3040	Sito 3	SEDIMENTO	"28/09/2023"	Dique Miguelito	30-40	17°46'50.04"N	 91°10'13.98"O	32.0	818.2	0.82	6.71	-281	-46	33.5	752.1	0.75	7.79	-117	118	6.34	25	1	6.34	S3a M	36.4	2	10	364.0
S3A6070	S3A6070	Sito 3	SEDIMENTO	"28/09/2023"	Dique Miguelito	60-70	17°46'50.04"N	 91°10'13.98"O	32.0	818.2	0.82	6.71	-281	-46	33.5	752.1	0.75	7.79	-117	118	6.34	25	1	6.34	S3a M	36.4	2	10	364.0
S3B510	S3B510	Sito 3	SEDIMENTO	"28/09/2023"	Dique Miguelito	5-10	 17°46'49.56"N	 91° 9'55.07"O	32.1	767.9	0.77	6.91	-220	15	32.7	752.8	0.75	7.63	-201	34	2.14	25	1	2.14	S3b M	49.5	2	10	495.0
S3B2030	S3B2030	Sito 3	SEDIMENTO	"28/09/2023"	Dique Miguelito	20-30	 17°46'49.56"N	 91° 9'55.07"O	32.1	767.9	0.77	6.91	-220	15	32.7	752.8	0.75	7.63	-201	34	2.14	25	1	2.14	S3b M	49.5	2	10	495.0
S3B3545	S3B3545	Sito 3	SEDIMENTO	"28/09/2023"	Dique Miguelito	35-45	 17°46'49.56"N	 91° 9'55.07"O	32.1	767.9	0.77	6.91	-220	15	32.7	752.8	0.75	7.63	-201	34	2.14	25	1	2.14	S3b M	49.5	2	10	495.0
S3B6070	S3B6070	Sito 3	SEDIMENTO	"28/09/2023"	Dique Miguelito	60-70	 17°46'49.56"N	 91° 9'55.07"O	32.1	767.9	0.77	6.91	-220	15	32.7	752.8	0.75	7.63	-201	34	2.14	25	1	2.14	S3b M	49.5	2	10	495.0
S4B07	S4B07	Sitio 4	SEDIMENTO	"29/09/2023"	La Piedad	0-7	 17°45'8.43"N	 91°16'25.21"O	31.4	816.5	0.82	6.83	-214	21	32.6	726.6	0.73	7.85	-111	124	3.66	25	1	3.66	S4b M	54.4	2	10	544.0
S4B1522	S4B1522	Sitio 4	SEDIMENTO	"29/09/2023"	La Piedad	15-22	 17°45'8.43"N	 91°16'25.21"O	31.4	816.5	0.82	6.83	-214	21	32.6	726.6	0.73	7.85	-111	124	3.66	25	1	3.66	S4b M	54.4	2	10	544.0
S4B3040	S4B3040	Sitio 4	SEDIMENTO	"29/09/2023"	La Piedad	30-40	 17°45'8.43"N	 91°16'25.21"O	31.4	816.5	0.82	6.83	-214	21	32.6	726.6	0.73	7.85	-111	124	3.66	25	1	3.66	S4b M	54.4	2	10	544.0
S4B5565	S4B5565	Sitio 4	SEDIMENTO	"29/09/2023"	La Piedad	55-65	 17°45'8.43"N	 91°16'25.21"O	31.4	816.5	0.82	6.83	-214	21	32.6	726.6	0.73	7.85	-111	124	3.66	25	1	3.66	S4b M	54.4	2	10	544.0
S5A07	S5A07	Sitio 5	SEDIMENTO	"29/09/2023"	La Piedad	0-7	 17°45'7.53"N	 91°17'11.16"O	31.9	757.6	0.76	6.91	-263	-28	32.6	726.1	0.73	7.89	-195	40	8.34	25	1	8.34	S5a M	46.8	2	10	468.0
S5A1522	S5A1522	Sitio 5	SEDIMENTO	"29/09/2023"	La Piedad	15-22	 17°45'7.53"N	 91°17'11.16"O	31.9	757.6	0.76	6.91	-263	-28	32.6	726.1	0.73	7.89	-195	40	8.34	25	1	8.34	S5a M	46.8	2	10	468.0
S5A3040	S5A3040	Sitio 5	SEDIMENTO	"29/09/2023"	La Piedad	30-40	 17°45'7.53"N	 91°17'11.16"O	31.9	757.6	0.76	6.91	-263	-28	32.6	726.1	0.73	7.89	-195	40	8.34	25	1	8.34	S5a M	46.8	2	10	468.0
S5A5565	S5A5565	Sitio 5	SEDIMENTO	"29/09/2023"	La Piedad	55-65	 17°45'7.53"N	 91°17'11.16"O	31.9	757.6	0.76	6.91	-263	-28	32.6	726.1	0.73	7.89	-195	40	8.34	25	1	8.34	S5a M	46.8	2	10	468.0
S5B07	S5B07	Sitio 5	SEDIMENTO	"29/09/2023"	La Piedad	0-7	 17°45'7.65"N	 91°17'9.63"O	31.5	754.6	0.75	7.04	-212	23	32.8	725.0	0.73	7.96	-146	89	2.28	25	1	2.28	S5b M	53.4	2	10	534.0
S5B1522	S5B1522	Sitio 5	SEDIMENTO	"29/09/2023"	La Piedad	15-22	 17°45'7.65"N	 91°17'9.63"O	31.5	754.6	0.75	7.04	-212	23	32.8	725.0	0.73	7.96	-146	89	2.28	25	1	2.28	S5b M	53.4	2	10	534.0
S5B3040	S5B3040	Sitio 5	SEDIMENTO	"29/09/2023"	La Piedad	30-40	 17°45'7.65"N	 91°17'9.63"O	31.5	754.6	0.75	7.04	-212	23	32.8	725.0	0.73	7.96	-146	89	2.28	25	1	2.28	S5b M	53.4	2	10	534.0
S5B5060	S5B5060	Sitio 5	SEDIMENTO	"29/09/2023"	La Piedad	50-60	 17°45'7.65"N	 91°17'9.63"O	31.5	754.6	0.75	7.04	-212	23	32.8	725.0	0.73	7.96	-146	89	2.28	25	1	2.28	S5b M	53.4	2	10	534.0
S6A07	S6A07	Sitio 6	SEDIMENTO	"30/09/2023"	El Cacahuate	0-7	17°17'52.57"N	91° 5'15.46"O	28.3	442.6	0.44	6.86	-170	65	27.5	435.6	0.44	6.90	-165	70	1.07	25	1	1.07	S6a M	78.1	5	4	312.4
S6A1522	S6A1522	Sitio 6	SEDIMENTO	"30/09/2023"	El Cacahuate	15-22	17°17'52.57"N	91° 5'15.46"O	28.3	442.6	0.44	6.86	-170	65	27.5	435.6	0.44	6.90	-165	70	1.07	25	1	1.07	S6a M	78.1	5	4	312.4
S6A3040	S6A3040	Sitio 6	SEDIMENTO	"30/09/2023"	El Cacahuate	30-40	17°17'52.57"N	91° 5'15.46"O	28.3	442.6	0.44	6.86	-170	65	27.5	435.6	0.44	6.90	-165	70	1.07	25	1	1.07	S6a M	78.1	5	4	312.4
S6A5060	S6A5060	Sitio 6	SEDIMENTO	"30/09/2023"	El Cacahuate	50-60	17°17'52.57"N	91° 5'15.46"O	28.3	442.6	0.44	6.86	-170	65	27.5	435.6	0.44	6.90	-165	70	1.07	25	1	1.07	S6a M	78.1	5	4	312.4
S6B07	S6B07	Sitio 6	SEDIMENTO	"30/09/2023"	El Cacahuate	0-7	17°17'52.57"N	91° 5'15.46"O	28.4	467.6	0.47	6.80	-165	70	27.5	438.6	0.44	6.91	-183	52	0.01	25	1	0.01	S6b M	53.5	5	4	214.0
S6B1522	S6B1522	Sitio 6	SEDIMENTO	"30/09/2023"	El Cacahuate	15-22	17°17'52.57"N	91° 5'15.46"O	28.4	467.6	0.47	6.80	-165	70	27.5	438.6	0.44	6.91	-183	52	0.01	25	1	0.01	S6b M	53.5	5	4	214.0
S6B3040	S6B3040	Sitio 6	SEDIMENTO	"30/09/2023"	El Cacahuate	30-40	17°17'52.57"N	91° 5'15.46"O	28.4	467.6	0.47	6.80	-165	70	27.5	438.6	0.44	6.91	-183	52	0.01	25	1	0.01	S6b M	53.5	5	4	214.0
S6B5060	S6B5060	Sitio 6	SEDIMENTO	"30/09/2023"	El Cacahuate	50-60	17°17'52.57"N	91° 5'15.46"O	28.4	467.6	0.47	6.80	-165	70	27.5	438.6	0.44	6.91	-183	52	0.01	25	1	0.01	S6b M	53.5	5	4	214.0
S7A07	S7A07	Sitio 7	SEDIMENTO	"30/09/2023"	El Cacahuate	0-7	 17°17'59.01"N	 91° 5'19.00"O	30.6	356.8	0.36	6.70	-190	45	31.0	348.4	0.35	7.53	-116	119	0.18	25	1	0.18	S7a M	37.9	5	4	151.6
S7A1522	S7A1522	Sitio 7	SEDIMENTO	"30/09/2023"	El Cacahuate	15-22	 17°17'59.01"N	 91° 5'19.00"O	30.6	356.8	0.36	6.70	-190	45	31.0	348.4	0.35	7.53	-116	119	0.18	25	1	0.18	S7a M	37.9	5	4	151.6
S7A3040	S7A3040	Sitio 7	SEDIMENTO	"30/09/2023"	El Cacahuate	30-40	 17°17'59.01"N	 91° 5'19.00"O	30.6	356.8	0.36	6.70	-190	45	31.0	348.4	0.35	7.53	-116	119	0.18	25	1	0.18	S7a M	37.9	5	4	151.6
S7A5060	S7A5060	Sitio 7	SEDIMENTO	"30/09/2023"	El Cacahuate	50-60	 17°17'59.01"N	 91° 5'19.00"O	30.6	356.8	0.36	6.70	-190	45	31.0	348.4	0.35	7.53	-116	119	0.18	25	1	0.18	S7a M	37.9	5	4	151.6
S7B07	S7B07	Sitio 7	SEDIMENTO	"30/09/2023"	El Cacahuate	0-7	 17°17'59.01"N	 91° 5'19.00"O	30.6	355.1	0.36	6.99	-136	99	30.6	349.6	0.35	7.52	-100	135	0.21	25	1	0.21	S7b M	37.5	5	4	150.0
S7B1522	S7B1522	Sitio 7	SEDIMENTO	"30/09/2023"	El Cacahuate	15-22	 17°17'59.01"N	 91° 5'19.00"O	30.6	355.1	0.36	6.99	-136	99	30.6	349.6	0.35	7.52	-100	135	0.21	25	1	0.21	S7b M	37.5	5	4	150.0
S7B3040	S7B3040	Sitio 7	SEDIMENTO	"30/09/2023"	El Cacahuate	30-40	 17°17'59.01"N	 91° 5'19.00"O	30.6	355.1	0.36	6.99	-136	99	30.6	349.6	0.35	7.52	-100	135	0.21	25	1	0.21	S7b M	37.5	5	4	150.0
