Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
S1A015_R1	S1A015_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146633.0	0.0	37-301	57.0	13.188027251710052	300.74992668771694	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S1A015_R2	S1A015_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146633.0	0.0	37-301	56.0	15.424904353044678	300.89250714368524	pass	fail	warn	pass	fail	pass	pass	warn	fail	fail	pass
S1A1530_R1	S1A1530_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	143226.0	0.0	36-301	56.0	13.427729602167204	300.68477790345327	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
S1A1530_R2	S1A1530_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	143226.0	0.0	36-301	56.0	15.559325820730873	300.88037088238167	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S1A3050_R1	S1A3050_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	106904.0	0.0	35-301	56.0	16.193033001571504	300.738793684053	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S1A3050_R2	S1A3050_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	106904.0	0.0	37-301	56.0	17.667252862381204	300.912173538876	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S1A5075_R1	S1A5075_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117295.0	0.0	37-301	56.0	14.876166929536637	300.61361524361655	pass	warn	pass	pass	fail	warn	pass	warn	fail	fail	pass
S1A5075_R2	S1A5075_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117295.0	0.0	37-301	56.0	17.32384159597596	300.81550790741295	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S1B07_R1	S1B07_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123965.0	0.0	35-301	55.0	13.429597063687332	300.50930504577906	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S1B07_R2	S1B07_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123965.0	0.0	35-301	55.0	16.80958335013915	300.67199612793934	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
S1B2230_R1	S1B2230_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160531.0	0.0	35-301	56.0	15.017037207766723	300.4035170776984	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S1B2230_R2	S1B2230_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160531.0	0.0	35-301	55.0	17.22034996355844	300.5943898686235	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S1B3040_R1	S1B3040_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114055.0	0.0	37-301	56.0	15.617903642979265	300.3967384156766	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S1B3040_R2	S1B3040_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114055.0	0.0	37-301	56.0	17.7081232738591	300.5131120950419	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S1B6575_R1	S1B6575_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	219022.0	0.0	35-301	56.0	13.73149729250943	299.98602880075975	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
S1B6575_R2	S1B6575_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	219022.0	0.0	35-301	56.0	15.755038306654127	300.19390289559954	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S2A1727_R1	S2A1727_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	120653.0	0.0	35-301	56.0	17.5337538229468	296.6265820161952	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
S2A1727_R2	S2A1727_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	120653.0	0.0	35-301	56.0	18.798537955956338	296.848259056965	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S2A3545_R1	S2A3545_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	135635.0	0.0	36-301	55.0	16.38662587090353	300.2180484388248	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S2A3545_R2	S2A3545_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	135635.0	0.0	36-301	55.0	18.51955616175766	300.4022560548531	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S2A5060_R1	S2A5060_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	154727.0	0.0	37-301	55.0	15.131166506168931	300.48788511378103	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S2A5060_R2	S2A5060_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	154727.0	0.0	37-301	55.0	18.258610326575194	300.6626316027584	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S2A515_R1	S2A515_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	163736.0	0.0	35-301	56.0	15.7692871451605	299.97640714320613	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S2A515_R2	S2A515_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	163736.0	0.0	35-301	55.0	17.49157179850491	300.2120669858797	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S2B07_R1	S2B07_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	167443.0	0.0	35-301	55.0	15.113202701814945	298.2345395149394	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S2B07_R2	S2B07_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	167443.0	0.0	35-301	55.0	16.229403438782153	298.53298734494723	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S2B1522_R1	S2B1522_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108947.0	0.0	37-301	55.0	17.368078056302604	300.21262632289097	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
S2B1522_R2	S2B1522_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108947.0	0.0	37-301	55.0	19.343350436450752	300.41404536150606	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S2B3040_R1	S2B3040_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	133330.0	0.0	39-301	55.0	13.99234980874522	300.786432160804	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
S2B3040_R2	S2B3040_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	133330.0	0.0	39-301	55.0	16.579164479111977	300.93163579089475	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S2B5565_R1	S2B5565_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49593.0	0.0	37-301	55.0	19.887887403464198	300.6961466335975	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S2B5565_R2	S2B5565_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49593.0	0.0	37-301	55.0	23.043574698042065	300.8328393119997	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S3A07_R1	S3A07_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58148.0	0.0	41-301	55.0	17.995459861044232	300.7655981289124	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S3A07_R2	S3A07_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58148.0	0.0	41-301	55.0	21.945724702483318	300.9406514411502	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S3A1522_R1	S3A1522_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74510.0	0.0	37-301	55.0	15.893168702187626	300.71623943094886	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S3A1522_R2	S3A1522_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74510.0	0.0	37-301	55.0	19.103476043484097	300.8506374983224	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S3A3040_R1	S3A3040_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42701.0	0.0	42-301	56.0	21.449146390014285	300.69796960258543	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S3A3040_R2	S3A3040_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42701.0	0.0	37-301	55.0	23.990070490152455	300.8781995737805	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S3A6070_R1	S3A6070_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29168.0	0.0	35-301	56.0	17.889467910038398	299.6537301151947	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S3A6070_R2	S3A6070_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29168.0	0.0	36-301	56.0	21.331596269884805	299.69487109160724	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S3B2030_R1	S3B2030_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	156608.0	0.0	36-301	55.0	15.095014303228444	300.1071018083367	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S3B2030_R2	S3B2030_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	156608.0	0.0	36-301	55.0	17.983117082141398	300.3527533714753	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S3B3545_R1	S3B3545_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	169765.0	0.0	36-301	55.0	14.81695284658204	300.62842164168114	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S3B3545_R2	S3B3545_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	169765.0	0.0	36-301	55.0	17.711542426295175	300.78642829794126	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S3B6070_R1	S3B6070_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	933080.0	0.0	35-301	55.0	7.45423757877138	300.7635819008016	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S3B6070_R2	S3B6070_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	933080.0	0.0	35-301	55.0	10.743315770532375	300.87859561881083	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
S4B07_R1	S4B07_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	157632.0	0.0	35-301	56.0	14.561129719853838	300.1425598863175	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S4B07_R2	S4B07_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	157632.0	0.0	35-301	56.0	16.386266747868454	300.366340590743	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S4B1522_R1	S4B1522_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108963.0	0.0	36-301	56.0	15.933849104741975	300.4456650422621	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
S4B1522_R2	S4B1522_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108963.0	0.0	36-301	55.0	17.6408505639529	300.6868294742252	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S4B3040_R1	S4B3040_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	138775.0	0.0	38-301	56.0	15.022158169699154	300.6648027382454	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
