Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
S1A015_R1	86.81197274828995	57.0	300.74992668771694	27.27272727272727	146633.0
S1A015_R2	84.57509564695532	56.0	300.89250714368524	36.36363636363637	146633.0
S1A1530_R1	86.5722703978328	56.0	300.68477790345327	18.181818181818183	143226.0
S1A1530_R2	84.44067417926912	56.0	300.88037088238167	36.36363636363637	143226.0
S1A3050_R1	83.80696699842849	56.0	300.738793684053	27.27272727272727	106904.0
S1A3050_R2	82.3327471376188	56.0	300.912173538876	36.36363636363637	106904.0
S1A5075_R1	85.12383307046336	56.0	300.61361524361655	27.27272727272727	117295.0
S1A5075_R2	82.67615840402404	56.0	300.81550790741295	36.36363636363637	117295.0
S1B07_R1	86.57040293631266	55.0	300.50930504577906	27.27272727272727	123965.0
S1B07_R2	83.19041664986085	55.0	300.67199612793934	45.45454545454545	123965.0
S1B2230_R1	84.98296279223328	56.0	300.4035170776984	27.27272727272727	160531.0
S1B2230_R2	82.77965003644155	55.0	300.5943898686235	36.36363636363637	160531.0
S1B3040_R1	84.38209635702074	56.0	300.3967384156766	27.27272727272727	114055.0
S1B3040_R2	82.2918767261409	56.0	300.5131120950419	36.36363636363637	114055.0
S1B6575_R1	86.26850270749057	56.0	299.98602880075975	18.181818181818183	219022.0
S1B6575_R2	84.24496169334587	56.0	300.19390289559954	36.36363636363637	219022.0
S2A1727_R1	82.4662461770532	56.0	296.6265820161952	18.181818181818183	120653.0
S2A1727_R2	81.20146204404367	56.0	296.848259056965	36.36363636363637	120653.0
S2A3545_R1	83.61337412909647	55.0	300.2180484388248	27.27272727272727	135635.0
S2A3545_R2	81.48044383824234	55.0	300.4022560548531	36.36363636363637	135635.0
S2A5060_R1	84.86883349383106	55.0	300.48788511378103	27.27272727272727	154727.0
S2A5060_R2	81.7413896734248	55.0	300.6626316027584	36.36363636363637	154727.0
S2A515_R1	84.2307128548395	56.0	299.97640714320613	27.27272727272727	163736.0
S2A515_R2	82.5084282014951	55.0	300.2120669858797	36.36363636363637	163736.0
S2B07_R1	84.88679729818506	55.0	298.2345395149394	27.27272727272727	167443.0
S2B07_R2	83.77059656121784	55.0	298.53298734494723	36.36363636363637	167443.0
S2B1522_R1	82.63192194369739	55.0	300.21262632289097	27.27272727272727	108947.0
S2B1522_R2	80.65664956354925	55.0	300.41404536150606	36.36363636363637	108947.0
S2B3040_R1	86.00765019125478	55.0	300.786432160804	36.36363636363637	133330.0
S2B3040_R2	83.42083552088802	55.0	300.93163579089475	36.36363636363637	133330.0
S2B5565_R1	80.11211259653581	55.0	300.6961466335975	27.27272727272727	49593.0
S2B5565_R2	76.95642530195794	55.0	300.8328393119997	36.36363636363637	49593.0
S3A07_R1	82.00454013895578	55.0	300.7655981289124	27.27272727272727	58148.0
S3A07_R2	78.05427529751668	55.0	300.9406514411502	36.36363636363637	58148.0
S3A1522_R1	84.10683129781238	55.0	300.71623943094886	27.27272727272727	74510.0
S3A1522_R2	80.8965239565159	55.0	300.8506374983224	36.36363636363637	74510.0
S3A3040_R1	78.55085360998572	56.0	300.69796960258543	27.27272727272727	42701.0
S3A3040_R2	76.00992950984755	55.0	300.8781995737805	36.36363636363637	42701.0
S3A6070_R1	82.1105320899616	56.0	299.6537301151947	27.27272727272727	29168.0
S3A6070_R2	78.66840373011519	56.0	299.69487109160724	36.36363636363637	29168.0
S3B2030_R1	84.90498569677156	55.0	300.1071018083367	27.27272727272727	156608.0
S3B2030_R2	82.0168829178586	55.0	300.3527533714753	36.36363636363637	156608.0
S3B3545_R1	85.18304715341796	55.0	300.62842164168114	27.27272727272727	169765.0
S3B3545_R2	82.28845757370482	55.0	300.78642829794126	36.36363636363637	169765.0
S3B6070_R1	92.54576242122862	55.0	300.7635819008016	27.27272727272727	933080.0
S3B6070_R2	89.25668422946762	55.0	300.87859561881083	45.45454545454545	933080.0
S4B07_R1	85.43887028014616	56.0	300.1425598863175	27.27272727272727	157632.0
S4B07_R2	83.61373325213154	56.0	300.366340590743	36.36363636363637	157632.0
S4B1522_R1	84.06615089525802	56.0	300.4456650422621	36.36363636363637	108963.0
S4B1522_R2	82.3591494360471	55.0	300.6868294742252	36.36363636363637	108963.0
S4B3040_R1	84.97784183030085	56.0	300.6648027382454	27.27272727272727	138775.0
S4B3040_R2	83.07692307692308	55.0	300.9092199603675	36.36363636363637	138775.0
S4B5565_R1	83.7041166380789	56.0	300.6279931389365	27.27272727272727	116600.0
S4B5565_R2	81.25042881646655	55.0	300.8243910806175	36.36363636363637	116600.0
S5A07_R1	90.0785519125683	55.0	300.7189950106914	27.27272727272727	269376.0
S5A07_R2	86.32914587788073	55.0	300.9013943335709	45.45454545454545	269376.0
S5A1522_R1	88.57769222543044	56.0	300.7691423377179	27.27272727272727	187020.0
S5A1522_R2	85.31012725911667	56.0	300.8870922895947	36.36363636363637	187020.0
S5A3040_R1	87.36053191799597	55.0	300.7696363477297	27.27272727272727	171455.0
S5A3040_R2	84.2209326062232	55.0	300.9185267271296	36.36363636363637	171455.0
S5A5565_R1	85.91358236234863	55.0	300.4085632282385	27.27272727272727	140064.0
S5A5565_R2	82.39519076993375	55.0	300.547406899703	36.36363636363637	140064.0
S5B07_R1	85.16573115677086	56.0	299.9339993477179	36.36363636363637	116514.0
S5B07_R2	82.47163431004	55.0	300.1364814528726	36.36363636363637	116514.0
S5B1522_R1	86.23469800207876	56.0	298.8611127150941	36.36363636363637	138544.0
S5B1522_R2	84.5716884166763	55.0	299.0413081764638	36.36363636363637	138544.0
S5B3040_R1	85.48996502253895	55.0	299.92895553934494	27.27272727272727	213852.0
S5B3040_R2	84.1553971905804	55.0	300.1555421506462	36.36363636363637	213852.0
S5B5060_R1	89.1261554262239	55.0	300.1701900034235	18.181818181818183	397256.0
S5B5060_R2	87.11385101798336	55.0	300.3673475038766	36.36363636363637	397256.0
S6A07_R1	84.244893801253	56.0	300.6853053532318	27.27272727272727	98165.0
S6A07_R2	81.6747313197168	56.0	300.89926144756276	36.36363636363637	98165.0
S6A1522_R1	84.276621365904	56.0	300.6749526922415	18.181818181818183	116260.0
S6A1522_R2	82.22346464820231	56.0	300.9109753999656	36.36363636363637	116260.0
S6A3040_R1	82.55146002872188	55.0	300.16015438008617	27.27272727272727	66848.0
S6A3040_R2	79.4144925801819	55.0	300.325709071326	45.45454545454545	66848.0
S6B07_R1	88.52626039835641	56.0	300.46233079928794	27.27272727272727	267951.0
S6B07_R2	86.18777313762591	56.0	300.68495359226125	36.36363636363637	267951.0
S6B1522_R1	88.67258777992812	56.0	300.498164915676	27.27272727272727	289360.0
S6B1522_R2	86.65053912081835	56.0	300.72615081559303	36.36363636363637	289360.0
S6B3040_R1	86.90825271486074	56.0	300.5258941146591	27.27272727272727	259866.0
S6B3040_R2	85.13964889596946	55.0	300.7577636166332	36.36363636363637	259866.0
S7A07_R1	86.67143314079286	56.0	300.4836403318971	27.27272727272727	212596.0
S7A07_R2	84.11352988767428	56.0	300.72908239101395	36.36363636363637	212596.0
S7A1522_R1	85.0143369636497	56.0	300.5104923429042	36.36363636363637	155542.0
S7A1522_R2	83.19810726363298	56.0	300.73956230471515	36.36363636363637	155542.0
S7A3040_R1	84.8479969468198	56.0	300.5684878409484	27.27272727272727	167694.0
S7A3040_R2	82.58554271470655	55.0	300.8126349183632	36.36363636363637	167694.0
S7A5060_R1	82.35926360525771	56.0	300.12546714918204	18.181818181818183	101413.0
S7A5060_R2	80.40093479139756	55.0	300.34007474386914	36.36363636363637	101413.0
S7B07_R1	81.85512603545025	56.0	300.3140420415071	27.27272727272727	89816.0
S7B07_R2	79.35779816513761	56.0	300.5609356907455	36.36363636363637	89816.0
S7B1522_R1	84.04966105355562	56.0	300.03656302035074	27.27272727272727	143533.0
S7B1522_R2	82.41519371851768	56.0	300.311593849498	36.36363636363637	143533.0
S7B5060_R1	86.6585884425296	55.0	300.54022562928805	27.27272727272727	178257.0
S7B5060_R2	83.93218779627168	55.0	300.7016779144718	45.45454545454545	178257.0
