Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
S1A015_1	S1A015_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146449.0	0.0	226-301	56.0	10.282760551454773	285.1406564742675	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
S1A015_2	S1A015_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146449.0	0.0	205-301	57.0	18.654958381416055	279.7461368804157	pass	fail	warn	pass	fail	pass	pass	warn	fail	fail	pass
S1A1530_1	S1A1530_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	143111.0	0.0	211-301	55.0	10.206063824583715	285.17932234419436	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
S1A1530_2	S1A1530_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	143111.0	0.0	207-301	56.0	18.250169448889324	279.78228088686404	pass	fail	warn	pass	fail	pass	pass	warn	fail	fail	pass
S1A3050_1	S1A3050_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	106847.0	0.0	228-301	55.0	12.612427115408012	285.18625698428593	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
S1A3050_2	S1A3050_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	106847.0	0.0	207-301	56.0	20.732449203066068	279.74733965389765	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S1A5075_1	S1A5075_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117178.0	0.0	209-301	55.0	11.251258768710851	284.9846558227654	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
S1A5075_2	S1A5075_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117178.0	0.0	205-301	56.0	19.19472938606223	279.7724146170783	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S1B07_1	S1B07_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123703.0	0.0	205-301	54.0	10.416077217205727	285.1647090207998	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
S1B07_2	S1B07_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123703.0	0.0	204-301	56.0	19.79903478492842	279.7404266670978	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
S1B2230_1	S1B2230_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160127.0	0.0	211-301	55.0	11.111180500477747	285.18648322893705	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S1B2230_2	S1B2230_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160127.0	0.0	207-301	56.0	18.76947672784727	279.75529423520084	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S1B3040_1	S1B3040_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113725.0	0.0	214-301	55.0	11.758188612881952	285.2081424488899	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
S1B3040_2	S1B3040_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113725.0	0.0	203-301	56.0	18.812046603649154	279.7915497911629	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S1B6575_1	S1B6575_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	217973.0	0.0	217-301	55.0	9.93884563684493	285.1718148578035	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
S1B6575_2	S1B6575_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	217973.0	0.0	202-301	56.0	17.18332087001601	279.7866065980649	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S2A1727_1	S2A1727_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118137.0	0.0	210-301	55.0	12.311976772729965	284.84237791716396	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
S2A1727_2	S2A1727_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118137.0	0.0	202-301	56.0	20.356027324208334	279.5454430026156	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S2A3545_1	S2A3545_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	135121.0	0.0	211-301	55.0	12.602778250605013	285.1036774446607	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
S2A3545_2	S2A3545_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	135121.0	0.0	207-301	56.0	21.266864514028168	279.6330844206304	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S2A5060_1	S2A5060_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	154397.0	0.0	211-301	55.0	11.557867057002403	285.1223275063635	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
S2A5060_2	S2A5060_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	154397.0	0.0	207-301	56.0	20.530191648801466	279.67530457198	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S2A515_1	S2A515_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	163032.0	0.0	203-301	55.0	11.579321850924972	285.0683669463664	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
S2A515_2	S2A515_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	163032.0	0.0	203-301	56.0	19.131826880612397	279.5548481279749	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S2B07_1	S2B07_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	165461.0	0.0	208-301	54.0	11.160938227135095	284.9352536247212	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
S2B07_2	S2B07_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	165461.0	0.0	204-301	56.0	18.27258387172808	279.3993992542049	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S2B1522_1	S2B1522_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108550.0	0.0	211-301	54.0	12.464302164900968	285.1590971902349	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
S2B1522_2	S2B1522_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108550.0	0.0	207-301	56.0	20.70935052970981	279.8105020727775	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S2B3040_1	S2B3040_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	133256.0	0.0	220-301	54.0	10.64117187969022	285.1675421744612	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
S2B3040_2	S2B3040_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	133256.0	0.0	239-301	56.0	18.30461667767305	279.7752446418923	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
S2B5565_1	S2B5565_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49553.0	0.0	242-301	55.0	14.396706556616149	285.1841462676326	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
S2B5565_2	S2B5565_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49553.0	0.0	236-301	56.0	23.800778963937603	279.88000726494863	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S3A07_1	S3A07_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58110.0	0.0	222-301	54.0	13.827224229908794	285.1500258131131	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
S3A07_2	S3A07_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58110.0	0.0	207-301	55.0	24.388229220443986	279.8229908793667	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S3A1522_1	S3A1522_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74459.0	0.0	242-301	54.0	11.493573644556063	285.03431418633073	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
S3A1522_2	S3A1522_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74459.0	0.0	261-301	56.0	19.749123678803098	280.8256221544743	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S3A3040_1	S3A3040_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42676.0	0.0	243-301	55.0	16.116786952854063	284.95060455525356	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
S3A3040_2	S3A3040_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42676.0	0.0	240-301	56.0	25.257756115849656	279.84525260099355	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S3A6070_1	S3A6070_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28996.0	0.0	242-301	55.0	12.787970754586839	284.74617188577736	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
S3A6070_2	S3A6070_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28996.0	0.0	237-301	57.0	20.15795282107877	279.74086080838737	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S3B2030_1	S3B2030_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	156024.0	0.0	209-301	55.0	11.000230733733272	285.18204891555143	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S3B2030_2	S3B2030_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	156024.0	0.0	206-301	56.0	19.326513869661078	279.7577295800646	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S3B3545_1	S3B3545_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	169593.0	0.0	204-301	54.0	11.305301515982382	285.2305932438249	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
S3B3545_2	S3B3545_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	169593.0	0.0	207-301	56.0	19.191829851467926	279.82329459352684	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S3B6070_1	S3B6070_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	932558.0	0.0	204-301	54.0	5.824302617102636	285.1532044119508	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
S3B6070_2	S3B6070_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	932558.0	0.0	200-301	56.0	12.502202906780981	279.1472401716569	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
S4B07_1	S4B07_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	157107.0	0.0	206-301	55.0	11.065070302405367	285.04411643020364	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
S4B07_2	S4B07_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	157107.0	0.0	202-301	56.0	19.119453620780742	279.49817640206993	pass	fail	warn	pass	fail	pass	pass	warn	fail	fail	pass
S4B1522_1	S4B1522_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108787.0	0.0	211-301	55.0	11.740373390202874	285.0718927813066	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
S4B1522_2	S4B1522_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108787.0	0.0	207-301	56.0	19.796483035656834	279.60870324579224	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S4B3040_1	S4B3040_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	138671.0	0.0	222-301	55.0	11.284983882715203	285.0915908877848	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
S4B3040_2	S4B3040_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	138671.0	0.0	207-301	56.0	18.68234886890554	279.6538281255634	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
