Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
S1A015_1	89.71723944854523	56.0	285.1406564742675	27.27272727272727	146449.0
S1A015_2	81.34504161858395	57.0	279.7461368804157	36.36363636363637	146449.0
S1A1530_1	89.79393617541629	55.0	285.17932234419436	27.27272727272727	143111.0
S1A1530_2	81.74983055111068	56.0	279.78228088686404	36.36363636363637	143111.0
S1A3050_1	87.38757288459199	55.0	285.18625698428593	27.27272727272727	106847.0
S1A3050_2	79.26755079693393	56.0	279.74733965389765	36.36363636363637	106847.0
S1A5075_1	88.74874123128915	55.0	284.9846558227654	36.36363636363637	117178.0
S1A5075_2	80.80527061393776	56.0	279.7724146170783	36.36363636363637	117178.0
S1B07_1	89.58392278279428	54.0	285.1647090207998	27.27272727272727	123703.0
S1B07_2	80.20096521507158	56.0	279.7404266670978	45.45454545454545	123703.0
S1B2230_1	88.88881949952226	55.0	285.18648322893705	27.27272727272727	160127.0
S1B2230_2	81.23052327215274	56.0	279.75529423520084	36.36363636363637	160127.0
S1B3040_1	88.24181138711805	55.0	285.2081424488899	27.27272727272727	113725.0
S1B3040_2	81.18795339635085	56.0	279.7915497911629	36.36363636363637	113725.0
S1B6575_1	90.06115436315507	55.0	285.1718148578035	27.27272727272727	217973.0
S1B6575_2	82.81667912998398	56.0	279.7866065980649	36.36363636363637	217973.0
S2A1727_1	87.68802322727004	55.0	284.84237791716396	27.27272727272727	118137.0
S2A1727_2	79.64397267579167	56.0	279.5454430026156	36.36363636363637	118137.0
S2A3545_1	87.39722174939499	55.0	285.1036774446607	27.27272727272727	135121.0
S2A3545_2	78.73313548597183	56.0	279.6330844206304	36.36363636363637	135121.0
S2A5060_1	88.4421329429976	55.0	285.1223275063635	36.36363636363637	154397.0
S2A5060_2	79.46980835119854	56.0	279.67530457198	36.36363636363637	154397.0
S2A515_1	88.42067814907503	55.0	285.0683669463664	36.36363636363637	163032.0
S2A515_2	80.8681731193876	56.0	279.5548481279749	36.36363636363637	163032.0
S2B07_1	88.83906177286491	54.0	284.9352536247212	27.27272727272727	165461.0
S2B07_2	81.72741612827193	56.0	279.3993992542049	36.36363636363637	165461.0
S2B1522_1	87.53569783509903	54.0	285.1590971902349	27.27272727272727	108550.0
S2B1522_2	79.29064947029019	56.0	279.8105020727775	36.36363636363637	108550.0
S2B3040_1	89.35882812030978	54.0	285.1675421744612	36.36363636363637	133256.0
S2B3040_2	81.69538332232695	56.0	279.7752446418923	45.45454545454545	133256.0
S2B5565_1	85.60329344338385	55.0	285.1841462676326	45.45454545454545	49553.0
S2B5565_2	76.1992210360624	56.0	279.88000726494863	36.36363636363637	49553.0
S3A07_1	86.1727757700912	54.0	285.1500258131131	27.27272727272727	58110.0
S3A07_2	75.61177077955601	55.0	279.8229908793667	36.36363636363637	58110.0
S3A1522_1	88.50642635544393	54.0	285.03431418633073	27.27272727272727	74459.0
S3A1522_2	80.2508763211969	56.0	280.8256221544743	36.36363636363637	74459.0
S3A3040_1	83.88321304714594	55.0	284.95060455525356	27.27272727272727	42676.0
S3A3040_2	74.74224388415034	56.0	279.84525260099355	36.36363636363637	42676.0
S3A6070_1	87.21202924541316	55.0	284.74617188577736	45.45454545454545	28996.0
S3A6070_2	79.84204717892123	57.0	279.74086080838737	36.36363636363637	28996.0
S3B2030_1	88.99976926626672	55.0	285.18204891555143	27.27272727272727	156024.0
S3B2030_2	80.67348613033892	56.0	279.7577295800646	36.36363636363637	156024.0
S3B3545_1	88.69469848401762	54.0	285.2305932438249	36.36363636363637	169593.0
