""	"Raw"	"Qual_filter"	"Derep"	"ASVs R1"	"ASVs R2"	"Merged"	"nonchim"
"S1A015"	146449	131486	131486	126409	125568	107961	101284
"S1A1530"	143111	129739	129739	125462	124859	108757	102627
"S1A3050"	106847	95570	95570	91169	90809	77809	73612
"S1A5075"	117178	106327	106327	102257	101506	88159	82238
"S1B07"	123703	111926	111926	106707	106169	90755	77480
"S1B2230"	160127	145886	145886	139633	139487	118169	110045
"S1B3040"	113725	101786	101786	98067	98035	83319	75771
"S1B6575"	217973	199812	199812	191843	191543	160881	151190
"S2A1727"	118137	107866	107866	100715	102048	82306	77043
"S2A3545"	135121	122578	122578	115182	114928	96543	87177
"S2A5060"	154397	139733	139733	132840	132751	112233	102473
"S2A515"	163032	149239	149239	142306	141873	120383	113105
"S2B07"	165461	150788	150788	141511	142677	118889	109807
"S2B1522"	108550	99377	99377	94628	94149	80266	75349
"S2B3040"	133256	121376	121376	116866	116639	101016	94316
"S2B5565"	49553	44707	44707	42877	42537	36305	32870
"S3A07"	58110	52436	52436	49004	48911	40823	35055
"S3A1522"	74459	67540	67540	65058	64664	55781	50374
"S3A3040"	42676	38220	38220	35769	35518	29269	26953
"S3A6070"	28996	26430	26430	25385	25188	21626	19696
"S3B2030"	156024	141564	141564	135950	135673	116086	106546
"S3B3545"	169593	153386	153386	146850	147165	124498	111772
"S3B6070"	932558	848826	848826	833733	832611	741955	679184
"S4B07"	157107	143725	143725	136145	135947	115119	108045
"S4B1522"	108787	99878	99878	95186	94858	80874	75688
"S4B3040"	138671	126235	126235	120937	120518	103349	95926
"S4B5565"	116473	106490	106490	101529	100956	85362	79752
"S5A07"	269147	242244	242244	234338	233702	202930	174080
"S5A1522"	186798	168838	168838	163182	162672	141978	124644
"S5A3040"	171346	152833	152833	147546	147317	127961	114158
"S5A5565"	139778	127244	127244	123243	122502	107468	98682
"S5B07"	115967	105901	105901	100851	100511	86009	76823
"S5B1522"	137314	126288	126288	116491	118402	89141	78387
"S5B3040"	212847	193914	193914	184701	184449	155611	146668
"S5B5060"	396041	361545	361545	348355	350697	298422	277205
"S6A07"	98069	89147	89147	85233	84503	72951	67596
"S6A1522"	116192	106048	106048	101828	100847	88323	82830
"S6A3040"	66635	60273	60273	57685	56965	49285	43878
"S6B07"	267476	242979	242979	232941	232888	200834	179721
"S6B1522"	288972	263452	263452	254749	254324	224077	203785
"S6B3040"	259553	233512	233512	224586	223991	194997	178936
"S7A07"	212271	190920	190920	181411	180859	153711	144186
"S7A1522"	155328	140096	140096	134973	134146	117678	111728
"S7A3040"	167529	150090	150090	144107	143202	123772	116101
"S7A5060"	101033	92489	92489	85679	86721	67286	61977
"S7B07"	89583	79651	79651	74208	72881	60067	55268
"S7B1522"	143014	130648	130648	123492	122827	103879	97049
"S7B5060"	177986	161897	161897	156616	155373	135090	120351
