# Constructed from biom file
#OTU ID	S1A015	S1A1530	S1A3050	S1A5075	S1B07	S1B2230	S1B3040	S1B6575	S2A1727	S2A3545	S2A5060	S2A515	S2B07	S2B1522	S2B3040	S2B5565	S3A07	S3A1522	S3A3040	S3A6070	S3B2030	S3B3545	S3B6070	S4B07	S4B1522	S4B3040	S4B5565	S5A07	S5A1522	S5A3040	S5A5565	S5B07	S5B1522	S5B3040	S5B5060	S6A07	S6A1522	S6A3040	S6B07	S6B1522	S6B3040	S7A07	S7A1522	S7A3040	S7A5060	S7B07	S7B1522	S7B5060	taxonomy
ASV_3500	0.0	27.0	6.0	6.0	12.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	28.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	8.0	14.0	0.0	0.0	10.0	13.0	2.0	22.0	7.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	3.0	2.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__Ellin516; s__uncultured_bacterium
ASV_3905	0.0	11.0	0.0	4.0	0.0	11.0	3.0	3.0	3.0	11.0	10.0	13.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	13.0	22.0	12.0	0.0	6.0	0.0	0.0	0.0	7.0	2.0	0.0	2.0	10.0	3.0	0.0	3.0	0.0	0.0	15.0	8.0	4.0	3.0	5.0	14.0	d__Bacteria; p__Acidobacteriota; c__Subgroup_22; o__Subgroup_22; f__Subgroup_22; g__Subgroup_22; s__uncultured_proteobacterium
ASV_1016	14.0	32.0	19.0	14.0	10.0	0.0	0.0	0.0	0.0	9.0	0.0	23.0	81.0	10.0	5.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	4.0	82.0	0.0	0.0	14.0	18.0	9.0	14.0	3.0	52.0	0.0	17.0	0.0	11.0	0.0	0.0	23.0	17.0	11.0	194.0	7.0	3.0	0.0	16.0	7.0	0.0	d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfatiglandales; f__Desulfatiglandaceae; g__Desulfatiglans
ASV_1628	0.0	15.0	9.0	13.0	0.0	36.0	7.0	21.0	22.0	19.0	0.0	36.0	0.0	17.0	4.0	9.0	5.0	8.0	8.0	3.0	13.0	10.0	38.0	0.0	18.0	21.0	14.0	0.0	4.0	16.0	9.0	6.0	16.0	19.0	40.0	0.0	0.0	6.0	0.0	0.0	6.0	0.0	0.0	15.0	12.0	0.0	0.0	0.0	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia
ASV_1968	4.0	0.0	8.0	4.0	16.0	3.0	5.0	7.0	2.0	6.0	0.0	6.0	3.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	5.0	14.0	34.0	0.0	0.0	6.0	0.0	6.0	13.0	9.0	36.0	5.0	6.0	8.0	133.0	6.0	0.0	4.0	16.0	10.0	10.0	0.0	5.0	3.0	2.0	2.0	2.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__Acinetobacter_schindleri
ASV_7303	0.0	0.0	0.0	0.0	0.0	0.0	5.0	11.0	26.0	0.0	10.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	20.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__SB-5; g__SB-5
ASV_4764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	6.0	9.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	2.0	39.0	0.0	13.0	16.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	2.0	0.0	0.0	19.0	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__Pelolinea; s__uncultured_bacterium
ASV_217	106.0	71.0	67.0	22.0	24.0	0.0	0.0	3.0	18.0	110.0	30.0	0.0	43.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	42.0	7.0	18.0	71.0	22.0	86.0	0.0	62.0	48.0	58.0	23.0	125.0	35.0	73.0	17.0	72.0	621.0	6.0	143.0	268.0	14.0	0.0	37.0	57.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__MND1; s__uncultured_bacterium
ASV_4033	14.0	14.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	8.0	10.0	8.0	3.0	4.0	40.0	5.0	33.0	19.0	3.0	0.0	16.0	8.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium
ASV_7444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	23.0	0.0	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured
