"Sample"	"Site"	"Tipo.de.muestra"	"Fecha.de.colecta"	"Location"	"Depth"	"Temperatura...C..int"	"Salnidad..ppm.int"	"Salinidad..ppt.int"	"pH.int"	"Redox.medido.en.campo"	"Redox.mV..Eh.int"	"Temperatura...C.sup"	"Salnidad..ppm.sup"	"Salinidad..ppt.sup"	"pHsup"	"Redox.medido.en.campo.1"	"Redox.mV..Eh.sup"	"S.2..mg.l..campo"	"ml.de.muestra"	"Factor.de.dilucion"	"S.2..mg.l."	"ID.1"	"SO.....mg.l..campo"	"ml.de.muestra.1"	"Factor.de.dilucion.1"	"SO.....mg.l."	"Shannon"	"Observed"	"Pielou"	"Faith"
"S1A015"	"S1A015"	"Site_1"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"0-10"	31.4	817.5	0.82	6.55	-114	121	33	734.7	0.73	7.34	-108	127	7.73	25	1	7.73	"S1a M"	53.7	2	10	537	6.36770143089083	1960	0.83998860778284	86.904720666
"S1A1530"	"S1A1530"	"Site_1"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"20-30"	31.4	817.5	0.82	6.55	-114	121	33	734.7	0.73	7.34	-108	127	7.73	25	1	7.73	"S1a M"	53.7	2	10	537	6.78057850779565	2520	0.865751561670185	101.304313449
"S1A3050"	"S1A3050"	"Site_1"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"40-50"	31.4	817.5	0.82	6.55	-114	121	33	734.7	0.73	7.34	-108	127	7.73	25	1	7.73	"S1a M"	53.7	2	10	537	6.76368910959364	2593	0.860457757347215	106.166775126
"S1A5075"	"S1A5075"	"Site_1"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"60-70"	31.4	817.5	0.82	6.55	-114	121	33	734.7	0.73	7.34	-108	127	7.73	25	1	7.73	"S1a M"	53.7	2	10	537	6.70803125841238	2839	0.843649414032869	112.043997292
"S1B07"	"S1B07"	"Site_1"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"0-10"	30.9	794	0.79	6.69	-234	1	33.2	732.8	0.73	7.79	-136	99	7.09	25	1	7.09	"S1b M"	55	2	10	550	5.8617050140696	2378	0.754012560539384	109.206794361
"S1B2230"	"S1B2230"	"Site_1"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"20-30"	30.9	794	0.79	6.69	-234	1	33.2	732.8	0.73	7.79	-136	99	7.09	25	1	7.09	"S1b M"	55	2	10	550	6.91492969645563	3203	0.856672951677766	123.194418489
"S1B3040"	"S1B3040"	"Site_1"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"30-40"	30.9	794	0.79	6.69	-234	1	33.2	732.8	0.73	7.79	-136	99	7.09	25	1	7.09	"S1b M"	55	2	10	550	6.27655525875868	1998	0.825873187897328	88.238266814
"S1B6575"	"S1B6575"	"Site_1"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"60-70"	30.9	794	0.79	6.69	-234	1	33.2	732.8	0.73	7.79	-136	99	7.09	25	1	7.09	"S1b M"	55	2	10	550	6.93195241150825	3175	0.859717019170272	122.729236513
"S2A1727"	"S2A1727"	"Site_2"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"20-30"	32.2	741.6	0.74	7.3	-122	113	34.1	741.1	0.74	7.82	-108	127	0.12	25	1	0.12	"S2a M"	54.5	2	10	545	6.84031841441366	2684	0.866404483772313	114.57089118
"S2A3545"	"S2A3545"	"Site_2"	"SEDIMENTO"	"\"28/09/2023\""	"Dique Miguelito"	"30-40"	32.2	741.6	0.74	7.3	-122	113	34.1	741.1	0.74	7.82	-108	127	0.12	25	1	0.12	"S2a M"	54.5	2	10	545	6.65838644147541	3183	0.825531073310517	132.778262994
