	reads.in	reads.out
S1A015_1.fastq.gz	146449	131486
S1A1530_1.fastq.gz	143111	129739
S1A3050_1.fastq.gz	106847	95570
S1A5075_1.fastq.gz	117178	106327
S1B07_1.fastq.gz	123703	111926
S1B2230_1.fastq.gz	160127	145886
S1B3040_1.fastq.gz	113725	101786
S1B6575_1.fastq.gz	217973	199812
S2A1727_1.fastq.gz	118137	107866
S2A3545_1.fastq.gz	135121	122578
S2A5060_1.fastq.gz	154397	139733
S2A515_1.fastq.gz	163032	149239
S2B07_1.fastq.gz	165461	150788
S2B1522_1.fastq.gz	108550	99377
S2B3040_1.fastq.gz	133256	121376
S2B5565_1.fastq.gz	49553	44707
S3A07_1.fastq.gz	58110	52436
S3A1522_1.fastq.gz	74459	67540
S3A3040_1.fastq.gz	42676	38220
S3A6070_1.fastq.gz	28996	26430
S3B2030_1.fastq.gz	156024	141564
S3B3545_1.fastq.gz	169593	153386
S3B6070_1.fastq.gz	932558	848826
S4B07_1.fastq.gz	157107	143725
S4B1522_1.fastq.gz	108787	99878
S4B3040_1.fastq.gz	138671	126235
S4B5565_1.fastq.gz	116473	106490
S5A07_1.fastq.gz	269147	242244
S5A1522_1.fastq.gz	186798	168838
S5A3040_1.fastq.gz	171346	152833
S5A5565_1.fastq.gz	139778	127244
S5B07_1.fastq.gz	115967	105901
S5B1522_1.fastq.gz	137314	126288
S5B3040_1.fastq.gz	212847	193914
S5B5060_1.fastq.gz	396041	361545
S6A07_1.fastq.gz	98069	89147
S6A1522_1.fastq.gz	116192	106048
S6A3040_1.fastq.gz	66635	60273
S6B07_1.fastq.gz	267476	242979
S6B1522_1.fastq.gz	288972	263452
S6B3040_1.fastq.gz	259553	233512
S7A07_1.fastq.gz	212271	190920
S7A1522_1.fastq.gz	155328	140096
S7A3040_1.fastq.gz	167529	150090
S7A5060_1.fastq.gz	101033	92489
S7B07_1.fastq.gz	89583	79651
S7B1522_1.fastq.gz	143014	130648
S7B5060_1.fastq.gz	177986	161897
