""	"observed"	"chao1"	"diversity_inverse_simpson"	"diversity_gini_simpson"	"diversity_shannon"	"diversity_fisher"	"diversity_coverage"	"evenness_camargo"	"evenness_pielou"	"evenness_simpson"	"evenness_evar"	"evenness_bulla"	"dominance_dbp"	"dominance_dmn"	"dominance_absolute"	"dominance_relative"	"dominance_simpson"	"dominance_core_abundance"	"dominance_gini"	"rarity_log_modulo_skewness"	"rarity_low_abundance"	"rarity_rare_abundance"
"S1A015"	1960	1960	179.172982421465	0.994418801392457	6.36770143089083	365.812705498432	115	0.822525657738222	0.83998860778284	0.0914147869497269	0.351594770517283	0.451003321252276	0.0312584906392724	0.0604080682097528	2416	0.0312584906392724	0.00558119860754297	0.177549779405105	0.922800870717992	2.06141983596217	0.547256472293022	0.685836643334929
"S1A1530"	2520	2520	341.295775150506	0.997069990100056	6.78057850779565	486.299548212874	172	0.789226830933474	0.865751561670185	0.135434831408931	0.368475921030064	0.468669738574524	0.0207450083049725	0.0409092493001754	1786	0.0207450083049725	0.00293000989994387	0.144692367556015	0.893099737862599	2.06142303617716	0.629040688557722	0.744613383201886
"S1A3050"	2593	2593	298.05073498934	0.996644866518998	6.76368910959364	543.14914263412	158	0.773233614257745	0.860457757347215	0.114944363667312	0.422160186863369	0.474706243869467	0.0208588187321602	0.0398513221040745	1330	0.0208588187321602	0.00335513348100204	0.13184969103855	0.887044412202386	2.06142303617716	0.603729494056021	0.719393996424202
"S1A5075"	2839	2839	227.979147180508	0.995613633911841	6.70803125841238	591.382490556547	141	0.715435479395575	0.843649414032869	0.0803026231703094	0.41914965331688	0.454685797044596	0.0276110612519632	0.0534412160646174	1969	0.0276110612519632	0.00438636608815904	0.179843504599506	0.884198527395995	2.06142303617716	0.58977451200359	0.688663899483958
"S1B07"	2378	2378	63.7180345594521	0.984305856153379	5.8617050140696	482.12094232391	38	0.621548540711026	0.754012560539384	0.026794800067053	0.436274795814486	0.389613989611959	0.0710326545366912	0.135227135799494	4716	0.0710326545366912	0.0156941438466208	0.442990119291481	0.92327486135764	2.06142064946624	0.4561543559465	0.46904747559947
"S1B2230"	3203	3203	294.837244165222	0.996608298239826	6.91492969645563	646.897417788977	189	0.535521303678682	0.856672951677766	0.0920503416063759	0.409945514486724	0.475598930459212	0.0243942731277533	0.0481938325991189	2215	0.0243942731277533	0.00339170176017388	0.179074889867841	0.862372806211852	2.0614229032561	0.658843612334802	0.691839207048458
"S1B3040"	1998	1998	153.311558887204	0.993477334603742	6.27655525875868	393.284666802997	91	0.557958443687503	0.825873187897328	0.0767325119555575	0.373778280288025	0.430625271293305	0.0393604327420253	0.0773526370217167	2474	0.0393604327420253	0.00652266539625842	0.256256463288521	0.925488698165566	2.06142166846181	0.521135947816403	0.663320340466152
"S1B6575"	3175	3175	359.232150419807	0.997216284792908	6.93195241150825	602.388255192343	198	0.495966217479299	0.859717019170272	0.113143984384191	0.358144745039227	0.458768456532678	0.0197869493618773	0.0376097845478249	2307	0.0197869493618773	0.00278371520709206	0.134365994236311	0.870539399625329	2.06142290090081	0.658827363798545	0.753362151777137
"S2A1727"	2684	2684	345.070184852213	0.997102038820224	6.84031841441366	573.140500046997	170	0.578475334662405	0.866404483772313	0.128565642642404	0.426296784953282	0.480003330637675	0.0179217309133566	0.0348496203851543	1100	0.0179217309133566	0.00289796117977646	0.146208739287693	0.880907786759622	2.06142303617716	0.631741014695819	0.727280132946658
"S2A3545"	3183	3183	144.450682053006	0.993077222026317	6.65838644147541	689.918971609464	141	0.561673413307901	0.825531073310517	0.0453819296427916	0.465970040765731	0.464445232895515	0.0423023880380344	0.0845321913333817	2914	0.0423023880380344	0.00692277797368277	0.294200479059302	0.867179169551775	2.06142249755191	0.601945271104014	0.60747622849677
"S2A5060"	3246	3246	191.836780857233	0.994787235296946	6.75196278482785	667.620097590309	156	0.508337860453119	0.835103712015744	0.059099439574009	0.429344685838779	0.46293428191556	0.0339645992901177	0.0672286568279469	2909	0.0339645992901177	0.00521276470305353	0.244197179151877	0.866581788271901	2.06142251826568	0.604812721838222	0.640563702596675
"S2A515"	3229	3229	347.578826231116	0.997122954781673	6.986176051289	652.41525586392	207	0.544653581285599	0.864633478107611	0.107642869690652	0.412313848634608	0.483941994748862	0.0199369720313389	0.0398630017070075	1822	0.0199369720313389	0.00287704521832717	0.153816693657811	0.857680316272649	2.06142303617716	0.667516522957062	0.721155950453014
"S2B07"	2308	2308	211.051550095249	0.995261821106982	6.5471545438099	438.901373350955	131	0.717288681075771	0.845433759581703	0.0914434792440419	0.358491493759095	0.454051379494781	0.0331498296036796	0.0645480326970282	2782	0.0331498296036796	0.00473817889301782	0.214687447868259	0.908048414357495	2.0614220113909	0.581134863325469	0.697886132361002
"S2B1522"	2577	2577	268.84481239679	0.996280382012638	6.74000690381664	542.035044691449	159	0.615656376402457	0.858120674697533	0.104324723475666	0.422219369065248	0.475487282509373	0.0227159781336668	0.0425143076997066	1417	0.0227159781336668	0.00371961798736176	0.154410939579025	0.887554395798134	2.06142303617716	0.612353516407765	0.70214334952468
"S2B3040"	2748	2748	68.4024435609043	0.985380639229509	6.14763332220976	547.229638771635	71	0.656978805615831	0.776350753563246	0.024891718908626	0.408875882036649	0.40380079982459	0.0860674130047182	0.147039916552452	7096	0.0860674130047182	0.0146193607704909	0.155845573519958	0.907669863834428	2.06142268224566	0.507841401142552	0.694312709983383
"S2B5565"	1768	1768	158.093984099004	0.993674648623102	6.3705950245016	417.790222007563	113	0.618927091896089	0.851956698603963	0.0894196742641427	0.483993739730734	0.494604247774768	0.0414564442719543	0.0780792435521998	1175	0.0414564442719543	0.00632535137689846	0.260699290830187	0.917686690454047	2.06142303617716	0.552976043467523	0.620964612073528
"S3A07"	1289	1289	60.8719224207055	0.983572064751156	5.54151333685853	276.178887894733	32	0.578616279962528	0.773779087277191	0.0472241446242866	0.438739397192175	0.410297136405077	0.0706262237642128	0.136958538009687	2056	0.0706262237642128	0.0164279352488439	0.444883377417471	0.954769878797492	2.06142303617716	0.417368005221394	0.471402562605201
