""	"Raw"	"Qual_filter"	"Derep"	"ASVs R1"	"ASVs R2"	"Merged"	"nonchim"
"S1A015"	342327	306289	304350	295487	294918	267186	243075
"S1A1530"	353082	319333	317482	309783	309247	283150	259656
"S1A3050"	253549	226138	224633	217188	216792	195353	180106
"S1A5075"	258518	234172	232697	226434	224958	204964	186780
"S1B07"	320547	288455	286743	277462	276826	250644	207979
"S1B2230"	381400	345852	343553	332878	332681	296258	269989
"S1B3040"	286283	255616	253735	246637	246816	220753	195670
"S1B6575"	352640	322118	320005	308769	309694	269656	248565
"S2A1727"	330795	301132	299212	281667	287669	242557	222774
"S2A3545"	328144	296173	294199	282013	281279	249835	221471
"S2A5060"	395326	358239	355911	343611	343307	305076	272136
"S2A515"	261496	238172	236649	227373	228095	200551	185160
"S2B07"	286496	259654	257889	244242	246849	214680	194588
"S2B1522"	309385	281402	279690	270250	270019	241425	222363
"S2B3040"	340093	307567	305751	297645	297603	271739	245980
"S2B5565"	220967	199442	198285	193280	192088	173513	153696
"S3A07"	233674	208416	207147	198964	198544	176805	148307
"S3A1522"	259804	234111	232620	227219	226623	206865	181992
"S3A3040"	229482	204459	203028	195949	195361	172958	157276
"S3A6070"	177807	161347	160260	157185	156946	144768	129115
"S3B2030"	357597	324135	322096	312333	312826	279503	250290
"S3B3545"	321667	289882	287923	277404	278678	246817	214662
"S3B515"	230907	209682	208372	199687	200015	175751	158983
"S3B6070"	1074036	977072	971009	954998	954677	883494	784046
"S4B07"	381507	347244	345187	331902	332497	297141	271636
"S4B1522"	219117	199795	198625	191140	191068	170744	155662
"S4B3040"	326041	295359	293421	284282	284151	256199	232022
"S4B5565"	331626	302547	300810	291726	290257	259395	237711
"S5A07"	337694	302784	300905	291822	291707	265292	219681
"S5A1522"	253669	228588	227163	220480	220393	201897	170883
"S5A3040"	347506	309813	307848	299674	299629	274387	236111
"S5A5565"	160683	145871	144886	140669	140115	127264	113751
"S5B07"	304182	276676	275145	265567	265519	240011	208619
"S5B1522"	318445	292911	291202	269650	277151	220508	187624
"S5B3040"	519530	472949	470139	452818	454139	402860	371996
"S5B5060"	407409	371378	368802	354457	358694	314968	285606
"S6A07"	339106	305619	303854	295450	294209	268201	242681
"S6A1522"	304546	276409	274684	267022	265894	243312	223637
"S6A3040"	281949	253708	252152	246371	244451	225319	196309
"S6B07"	437642	396473	394003	380499	380711	341663	297786
"S6B1522"	304421	276841	274893	265940	266411	243189	215407
"S6B3040"	288026	258197	256281	246691	246957	222974	199403
"S7A07"	382789	342787	340610	327397	327334	290989	265962
"S7A1522"	292933	263517	261810	254510	253556	232171	215697
"S7A3040"	395227	352708	350223	339937	339441	307221	281893
"S7A5060"	141888	129337	128459	118982	121587	98137	88901
"S7B07"	268133	236232	234484	223337	221773	193429	173405
"S7B1522"	340074	309965	308083	295822	295235	263361	240979
"S7B3040"	336911	304166	302081	296037	294044	273421	238858
"S7B5060"	264737	240488	238942	232813	231376	210299	182046
