Depth_cm	Site	qs	means	sd
1	0-15	Site_1	q=0	2639	526.087445202791
2	0-15	Site_1	q=1	472.71966723014	153.163707800764
3	0-15	Site_1	q=2	117.74744965192	77.4398928406188
4	0-15	Site_2	q=0	3141.5	771.453498274523
5	0-15	Site_2	q=1	941.331211179223	338.793833795297
6	0-15	Site_2	q=2	287.879574183527	115.636639222449
7	0-15	Site_3	q=0	2771	780.645886429949
8	0-15	Site_3	q=1	612.433424792618	428.577105205915
9	0-15	Site_3	q=2	150.384852376823	123.02254376427
10	0-15	Site_4	q=0	3009	NA
11	0-15	Site_4	q=1	815.329599956743	NA
12	0-15	Site_4	q=2	225.349727611247	NA
13	0-15	Site_5	q=0	2474.5	586.191521603648
14	0-15	Site_5	q=1	409.197021121613	230.02890070428
15	0-15	Site_5	q=2	86.7796590108937	45.5904945362441
16	0-15	Site_6	q=0	2064	384.666088965482
17	0-15	Site_6	q=1	545.260754424166	216.842017399491
18	0-15	Site_6	q=2	152.091538018188	82.6626277366418
19	0-15	Site_7	q=0	2284.5	330.218866814118
20	0-15	Site_7	q=1	704.847774305801	89.8375397754387
21	0-15	Site_7	q=2	198.055174190899	38.0958981256211
22	16-30	Site_1	q=0	3527.5	630.032142037214
23	16-30	Site_1	q=1	1025.92115644948	143.111424125769
24	16-30	Site_1	q=2	331.030485914219	15.1644971267928
25	16-30	Site_2	q=0	3565.5	53.0330085889911
26	16-30	Site_2	q=1	1048.87991620325	100.644705340833
27	16-30	Site_2	q=2	346.736185513097	77.1005129254122
28	16-30	Site_3	q=0	2596	886.711903607931
29	16-30	Site_3	q=1	588.704065529726	320.949188122881
30	16-30	Site_3	q=2	163.828868446568	80.8718131463202
31	16-30	Site_4	q=0	3335	NA
32	16-30	Site_4	q=1	913.911933681133	NA
33	16-30	Site_4	q=2	272.857353904099	NA
34	16-30	Site_5	q=0	3265.5	1170.26172286374
35	16-30	Site_5	q=1	646.383483034617	395.096282383893
36	16-30	Site_5	q=2	136.257679239693	86.1252617574819
37	16-30	Site_6	q=0	2447	254.558441227157
38	16-30	Site_6	q=1	716.42064359238	211.912661040452
39	16-30	Site_6	q=2	234.37003159825	112.780845669724
40	16-30	Site_7	q=0	3007.5	303.348809129029
41	16-30	Site_7	q=1	1001.84704054043	89.3602926089494
42	16-30	Site_7	q=2	326.370734910756	25.4356686259785
43	31-45	Site_1	q=0	2921.5	441.941738241592
44	31-45	Site_1	q=1	765.426722606634	227.125685347262
45	31-45	Site_1	q=2	234.325476584805	97.578062927319
46	31-45	Site_2	q=0	3844.5	382.544768621922
47	31-45	Site_2	q=1	699.711445489719	258.315713250351
48	31-45	Site_2	q=2	111.167466785795	57.6318270214541
49	31-45	Site_3	q=0	2810	354.967604155647
50	31-45	Site_3	q=1	666.586550107988	40.3369311686927
51	31-45	Site_3	q=2	186.199425354708	21.0316589692766
52	31-45	Site_4	q=0	4060	NA
53	31-45	Site_4	q=1	1092.00414671726	NA
54	31-45	Site_4	q=2	281.771360907081	NA
55	31-45	Site_5	q=0	4384.5	1306.02622485155
56	31-45	Site_5	q=1	1060.40706405888	638.628226744584
57	31-45	Site_5	q=2	284.4041735071	234.636301908548
58	31-45	Site_6	q=0	2796	325.269119345812
59	31-45	Site_6	q=1	638.695563866779	177.950320767985
60	31-45	Site_6	q=2	144.133601902318	46.419537443965
61	31-45	Site_7	q=0	3148	7.07106781186548
62	31-45	Site_7	q=1	792.088583373793	234.993535475624
63	31-45	Site_7	q=2	211.771191671724	115.288774409633
64	50-75	Site_1	q=0	3580.5	105.358910396796
65	50-75	Site_1	q=1	994.836808804599	162.993395109789
66	50-75	Site_1	q=2	304.689826220302	107.820611999014
67	50-75	Site_2	q=0	3533	772.16060505571
68	50-75	Site_2	q=1	852.558757848512	129.93952301044
69	50-75	Site_2	q=2	191.135143355201	7.27718274191652
70	50-75	Site_3	q=0	2361.5	1789.68726318315
71	50-75	Site_3	q=1	302.48109282139	63.0359533388845
72	50-75	Site_3	q=2	64.0086198934135	51.2707557050926
73	50-75	Site_4	q=0	4596	NA
74	50-75	Site_4	q=1	1322.06738790703	NA
75	50-75	Site_4	q=2	320.634677644599	NA
76	50-75	Site_5	q=0	3199	1094.60129727678
77	50-75	Site_5	q=1	746.265896902871	229.935364248603
78	50-75	Site_5	q=2	237.877813911454	88.711396569687
79	50-75	Site_7	q=0	2983.5	720.541810029092
80	50-75	Site_7	q=1	726.519737306908	111.447809768272
81	50-75	Site_7	q=2	191.919414322821	108.12679549717
